MeSH Disease Term Concatenados
46; XX Distúrbios do Desenvolvimento Sexual
46; XY Distúrbios do desenvolvimento sexual
Aborto; ameaçado
Aborto; espontâneo
Aborto; habitual
Acidose; lática
Acidose; tubular renal
Adenocarcinoma; folicular
Adenoma; célula hepática
Adenoma; oxifílico
Albinismo; ocular
Albinismo; oculocutâneo
Amiloidose; familiar
Anão; hipófise
Anemia; aplástica
Anemia; célula falciforme
Anemia; deficiência de ferro
Anemia; diamante-Blackfan
Anemia; disperterropoiética; congênita
Anemia; hemolítica
Anemia; hemolítica; autoimune
Anemia; hemolítica; congênita
Anemia; hipocrômica
Anemia; macrocítica
Anemia; megaloblástica
Anemia; neonatal
Anemia; perniciosa
Anemia; Sideroblástica
Aneurisma aórtico; abdominal
Aneurisma aórtico; torácico
Aneurisma; dissecando
Angina; instável
Angioedemas; hereditários
Anormalidades; induzidas por drogas
Anormalidades; múltiplas
Ânus; imperforado
Apneia do sono; central
Apneia do sono; obstrutiva
Apreensões; febril
Arritmias; cardíaco
Artéria carótida; interna; dissecção
Artrite; experimental
Artrite; psoriática
Artrite; reumatóide
Artrite; reumatóide juvenil
Artropatia; neurogênico
Asma; induzida pelo exercício
Ataque isquêmico; transitório
Atrofia bulbo-espinhal; ligada a X
Atrofia muscular; espinhal
Atrofia óptica; autossômico dominante
Atrofia óptica; hereditária; Leber
ATROFIAS ópticas; hereditárias
Bebê; prematuro; doenças
Bócio; nodular
Candidíase; mucocutânea crônica
Candidíase; oral
Candidíase; vulvovaginal
Carcinoma; adenóide cístico
Carcinoma; célula basal
Carcinoma; célula de transição
Carcinoma; célula escamosa
Carcinoma; célula grande
Carcinoma; célula renal
Carcinoma; ductal pancreático
Carcinoma; hepatocelular
Carcinoma; Lewis Lung
Carcinoma; medular
Carcinoma; papilar
Carcinoma; pequena célula
Carcinoma; pulmão de células não pequenas
Cardiomiopatia; dilatada
Cardiomiopatia; hipertrófica
Cardiomiopatia; hipertrófica; familiar
Cardiomiopatia; restritiva
Cegueira; cortical
Chondrodyryspladi apontou; rizomélico
Choque; séptico
Cirrose do fígado; alcoólatra
Cirrose do fígado; experimental
Cirrose hepática; alcoólatra
Cirrose hepática; biliar
Cistadenocarcinoma; papilar
Cistadenocarcinoma; seroso
Colangite; esclerosante
Colestase; intra-hepática
Colite; ulcerosa
Condrossarcoma; mesenquimal
Convulsões; febril
Defeitos cardíacos; congênitos
Defeitos do septo cardíaco; atrial
Defeitos do septo cardíaco; ventricular
Deformidades da extremidade superior; congênitas
Deformidades das mãos; congênitas
Deformidades de membros; congênitas
Deformidades de pé; congênitas
Demência; vascular
Depressão; pós-parto
Dermatite; atópica
Dermatite; contato
Dermatite; contato alérgico
Dermatite; esfoliativa
Dermatite; Seborrheic
Desmineralização óssea; patológica
Diabetes insipidus; nefrogênico
Diabetes insipidus; neurogênico
Diabetes mellitus; experimental
Diabetes mellitus; tipo 1
Diabetes mellitus; tipo 2
Diabetes; gestacional
Disautonomia; familiar
Disfunção ventricular; esquerda
Disfunções sexuais; psicológico
Disgenesia gonadal; 46; xx
Disgenesia gonadal; 46; xy
Disgenesse gonadal; 46; XY
Diskinesia; induzida por drogas
Displasia ectodérmica 1; ANHidrótica
Displasia ectodérmica 3; Anidrótica
Displasia fibrosa; poliotótica
Distrofia muscular; Duchenne
Distrofia muscular; Emery-Dreifuss
Distrofia muscular; faciososcapulo-humana
Distrofia muscular; faciososcápuloHumeral
Distrofia muscular; oculofaríngea
Distrofias da córnea; hereditárias
Distrofias musculares; gira de membro
Distúrbios da marcha; neurológicos
Distúrbios do sono; ritmo circadiano
Distúrbios heredodegenerativos; sistema nervoso
Doença de Parkinson; secundária
Doença granulomatosa; crônica
Doença Niemann-Pick; tipo B tipo B
Doença Niemann-Pick; tipo C tipo C
Doença pulmonar; obstrutiva crônica
Doenças cerebrais; metabólicas
Doenças cerebrais; metabólicas; inatos
Doenças colônicas; funcional
Doenças de pele; genéticas
Doenças de pele; vasculares
Doenças de pele; vesiculobuloso
Doenças genéticas; inatos
Doenças genéticas; ligadas a Y
Doenças genéticas; ligadas ao X
Doenças genitais; homens
Doenças hepáticas; alcoólatras
Doenças hepáticas; parasitas
Doenças oculares; hereditário
Doenças ósseas; Desenvolvimento
Doenças ósseas; metabólicas
Doenças pulmonares; intersticiais
Doenças pulmonares; obstrutivas
Doenças renais; Cystic
Eliptocitose; hereditária
Encefalite; herpes simplex
Encefalomielite; autoimune; experimental
Enterocolite; necrosante
Epilepsia mioclônica; juvenil
Epilepsia; ausência
Epilepsia; generalizada
Epilepsia; lobo frontal
Epilepsia; lobo temporal
Epilepsia; neonatal benigno
Epilepsia; parcial complexo
Epilepsia; reflexo
Epilepsia; Rolandic
Epilepsia; tônica-clônica
