Ano,Ano Semestre
1923,1923a
1923,1923a
1923,1923a
1923,1923b
1923,1923b
1923,1923b
1923,1923b
1923,1923b
1923,1923b
1923,1923b
1923,1923b
1923,1923b
1923,1923b
1924,1924a
1924,1924a
1924,1924a
1924,1924a
1924,1924a
1924,1924a
1924,1924a
1924,1924a
1924,1924a
1924,1924a
1924,1924b
1924,1924b
1924,1924b
1924,1924b
1924,1924b
1924,1924b
1924,1924b
1924,1924b
1924,1924b
1925,1925a
1925,1925a
1925,1925a
1925,1925a
1925,1925a
1925,1925a
1925,1925a
1925,1925a
1925,1925a
1925,1925a
1925,1925b
1925,1925b
1925,1925b
1925,1925b
1925,1925b
1925,1925b
1925,1925b
1925,1925b
1925,1925b
1925,1925b
1926,1926a
1926,1926a
1926,1926a
1926,1926a
1926,1926a
1926,1926a
1926,1926a
1926,1926a
1926,1926b
1926,1926b
1926,1926b
1926,1926b
1926,1926b
1926,1926b
1926,1926b
1926,1926b
1926,1926b
1927,1927a
1927,1927a
1927,1927a
1927,1927a
1927,1927a
1927,1927a
1927,1927a
1927,1927a
1927,1927a
1927,1927a
1927,1927a
1927,1927a
1927,1927a
1927,1927a
1927,1927a
1927,1927b
1927,1927b
1927,1927b
1927,1927b
1927,1927b
1927,1927b
1927,1927b
1927,1927b
1927,1927b
1927,1927b
1927,1927b
1927,1927b
1927,1927b
1928,1928a
1928,1928a
1928,1928a
1928,1928a
1928,1928a
1928,1928a
1928,1928a
1928,1928a
1928,1928a
1928,1928a
1928,1928a
1928,1928b
1928,1928b
1928,1928b
1928,1928b
1928,1928b
1928,1928b
1928,1928b
1928,1928b
1928,1928b
1929,1929a
1929,1929a
1929,1929a
1929,1929a
1929,1929a
1929,1929a
1929,1929a
1929,1929a
1929,1929b
1929,1929b
1929,1929b
1929,1929b
1929,1929b
1929,1929b
1929,1929b
1929,1929b
1930,1930a
1930,1930a
1930,1930a
1930,1930a
1930,1930a
1930,1930a
1930,1930a
1930,1930a
1930,1930a
1930,1930a
1930,1930a
1930,1930a
1930,1930a
1930,1930b
1930,1930b
1930,1930b
1930,1930b
1930,1930b
1930,1930b
1930,1930b
1930,1930b
1930,1930b
1930,1930b
1930,1930b
1930,1930b
1930,1930b
1930,1930b
1931,1931a
1931,1931a
1931,1931a
1931,1931a
1931,1931a
1931,1931a
1931,1931a
1931,1931a
1931,1931a
1931,1931a
1931,1931a
1931,1931b
1931,1931b
1931,1931b
1931,1931b
1931,1931b
1931,1931b
1931,1931b
1931,1931b
1931,1931b
1931,1931b
1931,1931b
1931,1931b
1932,1932a
1932,1932a
1932,1932a
1932,1932a
1932,1932a
1932,1932a
1932,1932a
1932,1932a
1932,1932a
1932,1932b
1932,1932b
1932,1932b
1932,1932b
1932,1932b
1932,1932b
1932,1932b
1933,1933a
1933,1933a
1933,1933a
1933,1933a
1933,1933a
1933,1933a
1933,1933b
1933,1933b
1933,1933b
1933,1933b
1933,1933b
