TFIDF score,PubMed occurrence,MeSH (Medical Subject Headings) Symptom Term Concatenado,MeSH (Medical Subject Headings) Disease Term
"0,10981383550099400",1,Cegueira,Anemia; disperterropoiética; congênita
"0,14929989098693100",1,Distúrbios do sono,Anemia; disperterropoiética; congênita
"0,5958780941028820",1,Edema,Anemia; disperterropoiética; congênita
"0,6189376322832960",1,Febre,Anemia; disperterropoiética; congênita
"0,16387001767658200",7,Hidropisia fetal,Anemia; disperterropoiética; congênita
"0,43641353128567400",3,Icterícia,Anemia; disperterropoiética; congênita
"0,22358860726216600",1,Paraparesia,Anemia; disperterropoiética; congênita
"0,9054466840727140",1,Retardo mental,Anemia; disperterropoiética; congênita
"0,12285271630622600",1,Surdez,Anemia; disperterropoiética; congênita
"0,2065086665228330",1,Albuminúria,Anemia; hemolítica; autoimune
"0,14773000003262100",1,Arthralgia,Anemia; hemolítica; autoimune
"0,41264385021070700",2,Astenia,Anemia; hemolítica; autoimune
"0,28021759676447700",1,Ataxia da marcha,Anemia; hemolítica; autoimune
"0,14608217695938200",1,Atrofia muscular,Anemia; hemolítica; autoimune
"0,19947240158047700",1,Caquexia,Anemia; hemolítica; autoimune
"0,1743409587523860",10,Cianose,Anemia; hemolítica; autoimune
"0,21694092980737300",1,Ciática,Anemia; hemolítica; autoimune
"0,27695643932469300",3,Diarréia,Anemia; hemolítica; autoimune
"0,8771292762243720",1,Distúrbios da consciência,Anemia; hemolítica; autoimune
"0,13269788637358100",2,Distúrbios da visão,Anemia; hemolítica; autoimune
"0,6587734172614800",2,Dor,Anemia; hemolítica; autoimune
"0,25454510344422200",3,Dor abdominal,Anemia; hemolítica; autoimune
"0,17691285094237800",2,Dor de cabeça,Anemia; hemolítica; autoimune
"0,15904210228767800",1,Dor lombar,Anemia; hemolítica; autoimune
"0,4020886726158460",4,Dyspnea,Anemia; hemolítica; autoimune
"0,17876342823086400",3,Edema,Anemia; hemolítica; autoimune
"0,34140394665642800",3,Fadiga,Anemia; hemolítica; autoimune
"0,5570438690549670",9,Febre,Anemia; hemolítica; autoimune
"0,14731549166710400",1,Febre de origem desconhecida,Anemia; hemolítica; autoimune
"0,9929910817028620",1,Fraqueza muscular,Anemia; hemolítica; autoimune
"0,14866897406760500",1,Ganho de peso,Anemia; hemolítica; autoimune
"0,3883897088676040",3,Hemiplegia,Anemia; hemolítica; autoimune
"0,605539537490733",21,Hemoglobinúria,Anemia; hemolítica; autoimune
"0,4682000505045210",2,Hidropisia fetal,Anemia; hemolítica; autoimune
"0,13433001309655400",8,Hipergamglobulinemia,Anemia; hemolítica; autoimune
"0,19454362153971500",1,Hipotermia,Anemia; hemolítica; autoimune
"0,2473010010618820",17,Icterícia,Anemia; hemolítica; autoimune
"0,1224714436203110",2,Manifestações de pele,Anemia; hemolítica; autoimune
"0,6994141317533430",1,Manifestações neurológicas,Anemia; hemolítica; autoimune
"0,1775070869430330",1,Mioclonia,Anemia; hemolítica; autoimune
"0,2659694538366160",2,Ophthalmoplegia,Anemia; hemolítica; autoimune
"0,7070338113503840",2,Palidez,Anemia; hemolítica; autoimune
"0,48447137748284800",1,Paralisia,Anemia; hemolítica; autoimune
"0,4358050118072570",3,Peito angina,Anemia; hemolítica; autoimune
"0,10000537113811700",1,Perda de peso,Anemia; hemolítica; autoimune
"0,68597569428953",2,Peso corporal,Anemia; hemolítica; autoimune
"0,3303928295205090",1,Pontos de Cafe-au-à,Anemia; hemolítica; autoimune
"0,6244888867667750",5,Proteinúria,Anemia; hemolítica; autoimune
"0,4252874423716530",4,púrpura,Anemia; hemolítica; autoimune
"0,13691396694936400",1,Quisriplegia,Anemia; hemolítica; autoimune
"0,18108933681454200",2,Retardo mental,Anemia; hemolítica; autoimune
"0,15507898745329100",3,Reticulocitose,Anemia; hemolítica; autoimune
"0,14908914275297500",1,Síncope,Anemia; hemolítica; autoimune
"0,12285271630622600",1,Surdez,Anemia; hemolítica; autoimune
"0,26849428448229500",2,Tontura,Anemia; hemolítica; autoimune
"0,15962519431875700",1,Vertigem,Anemia; hemolítica; autoimune
"0,8435126654253870",1,Vomitando,Anemia; hemolítica; autoimune
"0,10019885717074700",1,Anóxia,Anemia; hemolítica; congênita
"0,17087856229578100",1,Ataxia cerebelar,Anemia; hemolítica; congênita
"0,5958780941028820",1,Edema,Anemia; hemolítica; congênita
"0,6189376322832960",1,Febre,Anemia; hemolítica; congênita
"0,9929910817028620",1,Fraqueza muscular,Anemia; hemolítica; congênita
"0,28835216070987200",1,Hemoglobinúria,Anemia; hemolítica; congênita
"0,21069002272703400",9,Hidropisia fetal,Anemia; hemolítica; congênita
"0,2341000252522600",1,Hipercinesia,Anemia; hemolítica; congênita
"0,16565111347057700",1,Hipotonia muscular,Anemia; hemolítica; congênita
"0,8728270625713490",6,Icterícia,Anemia; hemolítica; congênita
"0,6994141317533430",1,Manifestações neurológicas,Anemia; hemolítica; congênita
"0,14071309430047",1,Peso ao nascer,Anemia; hemolítica; congênita
"0,342987847144765",1,Peso corporal,Anemia; hemolítica; congênita
"0,12489777735335500",1,Proteinúria,Anemia; hemolítica; congênita
"0,4527233420363570",5,Retardo mental,Anemia; hemolítica; congênita
"0,14608217695938200",1,Atrofia muscular,Anemia; hemolítica; congênita não-esferocítica
"0,1005221681539610",1,Dyspnea,Anemia; hemolítica; congênita não-esferocítica
"0,5958780941028820",1,Edema,Anemia; hemolítica; congênita não-esferocítica
"0,13672774715625700",1,Espasmo,Anemia; hemolítica; congênita não-esferocítica
"0,2341000252522600",1,Hidropisia fetal,Anemia; hemolítica; congênita não-esferocítica
"0,145471177095225",1,Icterícia,Anemia; hemolítica; congênita não-esferocítica
"0,13988282635066800",2,Manifestações neurológicas,Anemia; hemolítica; congênita não-esferocítica
"0,14526833726908500",1,Peito angina,Anemia; hemolítica; congênita não-esferocítica
"0,10632186059291300",1,púrpura,Anemia; hemolítica; congênita não-esferocítica
"0,18108933681454200",2,Retardo mental,Anemia; hemolítica; congênita não-esferocítica
"0,25362124191476300",1,Agnosia,Anemia; refratária; com excesso de explosões
"0,12196597127769400",1,Ataxia,Anemia; refratária; com excesso de explosões
"0,9231881310823100",1,Diarréia,Anemia; refratária; com excesso de explosões
"0,13269788637358100",2,Distúrbios da visão,Anemia; refratária; com excesso de explosões
"0,10455310699864000",1,Distúrbios somatossensoriais,Anemia; refratária; com excesso de explosões
"0,8845642547118900",1,Dor de cabeça,Anemia; refratária; com excesso de explosões
"0,22999812330780600",1,ECCIMOSE,Anemia; refratária; com excesso de explosões
"0,18568128968498900",3,Febre,Anemia; refratária; com excesso de explosões
"0,11387530741641300",1,Náusea,Anemia; refratária; com excesso de explosões
"0,10632186059291300",1,púrpura,Anemia; refratária; com excesso de explosões
"0,7242647258132130",4,Afasia,Artéria carótida; interna; dissecção
"0,3585179477326580",1,Ageusia,Artéria carótida; interna; dissecção
"0,10533214515518500",3,Amaurose Shy,Artéria carótida; interna; dissecção
"0,3420099726967130",1,Anomia,Artéria carótida; interna; dissecção
"0,28021759676447700",1,Ataxia da marcha,Artéria carótida; interna; dissecção
"0,3294415065029840",3,Cegueira,Artéria carótida; interna; dissecção
"0,1312084812843240",1,Coma,Artéria carótida; interna; dissecção
"0,301789642255399",2,Confusão,Artéria carótida; interna; dissecção
"0,25355007765642400",3,Convulsões,Artéria carótida; interna; dissecção
"0,32883305977669500",2,Diplopia,Artéria carótida; interna; dissecção
"0,1215951070724250",6,Disartria,Artéria carótida; interna; dissecção
"0,3449513612173420",1,Disfonia,Artéria carótida; interna; dissecção
"0,1754258552448740",2,Distúrbios da consciência,Artéria carótida; interna; dissecção
"0,23058331220480000",2,Distúrbios da fala,Artéria carótida; interna; dissecção
"0,19904682956037200",3,Distúrbios da visão,Artéria carótida; interna; dissecção
"0,166524481467453",1,Distúrbios de voz,Artéria carótida; interna; dissecção
"0,17461232933954600",1,Distúrbios do aluno,Artéria carótida; interna; dissecção
"0,23057069604151800",7,Dor,Artéria carótida; interna; dissecção
"0,4865103400915390",55,Dor de cabeça,Artéria carótida; interna; dissecção
"0,27305823144577600",1,Dor de dente,Artéria carótida; interna; dissecção
"0,4309342414473150",22,Dor de pescoço,Artéria carótida; interna; dissecção
"0,19723285922962400",1,Dor facial,Artéria carótida; interna; dissecção
"0,6944312177846370",2,Dysgeusia,Artéria carótida; interna; dissecção
"0,11917561882057600",2,Edema,Artéria carótida; interna; dissecção
"0,13672774715625700",1,Espasmo,Artéria carótida; interna; dissecção
"0,6713841650691200",2,Espirrando,Artéria carótida; interna; dissecção
"0,6189376322832960",1,Febre,Artéria carótida; interna; dissecção
"0,14894866225542900",15,Fraqueza muscular,Artéria carótida; interna; dissecção
"0,12492313196319700",6,Hemianopsia,Artéria carótida; interna; dissecção
"0,22008750169164200",17,Hemiplegia,Artéria carótida; interna; dissecção
"0,34439220882327600",2,Hipestesia,Artéria carótida; interna; dissecção
"0,9279728292056460",1,Inconsciência,Artéria carótida; interna; dissecção
"0,52280242704531800",2,Lavagem,Artéria carótida; interna; dissecção
"0,33367181180280800",1,Macrossomia fetal,Artéria carótida; interna; dissecção
"0,1047724764479220",5,Miose,Artéria carótida; interna; dissecção
"0,34162592224924100",3,Náusea,Artéria carótida; interna; dissecção
"0,13298472691830800",1,Ophthalmoplegia,Artéria carótida; interna; dissecção
"0,3875771019862780",8,Paralisia,Artéria carótida; interna; dissecção
"0,7951118173807840",4,Paralisia do cordão vocal,Artéria carótida; interna; dissecção
"0,9499678381413200",7,Paralisia facial,Artéria carótida; interna; dissecção
"0,16740565189828400",13,Paresia,Artéria carótida; interna; dissecção
"0,27160362922995500",2,Parestesia,Artéria carótida; interna; dissecção
"0,342987847144765",1,Peso corporal,Artéria carótida; interna; dissecção
"0,6648380767923590",3,Rouquidão,Artéria carótida; interna; dissecção
"0,44726742825892500",3,Síncope,Artéria carótida; interna; dissecção
"0,12152944969209500",55,Síndrome de Horner,Artéria carótida; interna; dissecção
"0,2953725865771970",1,Soluço,Artéria carótida; interna; dissecção
"0,16392693282712600",1,Sons respiratórios,Artéria carótida; interna; dissecção
"0,10739771379291800",8,Tontura,Artéria carótida; interna; dissecção
"0,987016811273663",5,Toque,Artéria carótida; interna; dissecção
"0,2376091572333870",1,Transtornos do gosto,Artéria carótida; interna; dissecção
"0,1739352786828250",1,Tremor,Artéria carótida; interna; dissecção
"0,1117376360231300",7,Vertigem,Artéria carótida; interna; dissecção
"0,8435126654253870",1,Vomitando,Artéria carótida; interna; dissecção
"0,5127056459589200",2,Ambliopia,Atrofia óptica; hereditária; Leber
"0,17087856229578100",1,Ataxia cerebelar,Atrofia óptica; hereditária; Leber
"0,5820133281552730",53,Cegueira,Atrofia óptica; hereditária; Leber
