TFIDF score,PubMed occurrence,MeSH (Medical Subject Headings) Symptom Term Concatenado,MeSH (Medical Subject Headings) Disease Term
"0,20782571284180700",1,Bexiga urinária; neurogênica,A síndrome de Guillain-Barré
"0,2944676030252050",1,Cegueira; cortical,A síndrome de Guillain-Barré
"0,1744765519935000",10,Distúrbios da marcha; neurológicos,A síndrome de Guillain-Barré
"0,17529399523745600",1,Obesidade; mórbida,A síndrome de Guillain-Barré
"0,31712036795505000",1,Paraparesia; espástica,A síndrome de Guillain-Barré
"0,12148558604642900",1,Perda auditiva; neurinhaural,A síndrome de Guillain-Barré
"0,5994643262233620",3,Púrpura; Schoenlein-Henoch,A síndrome de Guillain-Barré
"0,28298110411036600",2,Púrpura; trombocitopênico,A síndrome de Guillain-Barré
"0,35270718465193000",1,Reflex; Babinski,A síndrome de Guillain-Barré
"0,239212260310799",17,Reflexo; anormal,A síndrome de Guillain-Barré
"0,16778553222664500",1,Dor; pós-operatório,Aberração da frente de onda da córnea
"0,2281245322020590",1,Diarréia; infantil,Aberrações cromossômicas
"0,36468730463319200",1,Ophthalmoplegia; externo progressivo crônico,Aberrações cromossômicas
"0,3105606397064690",1,Perda auditiva; alta frequência,Aberrações cromossômicas
"0,6635365563127790",3,Perda auditiva; bilateral,Aberrações cromossômicas
"0,9069680868114990",4,Perda auditiva; condutor,Aberrações cromossômicas
"0,10933702744178600",9,Perda auditiva; neurinhaural,Aberrações cromossômicas
"0,19982144207445400",1,Púrpura; Schoenlein-Henoch,Aberrações cromossômicas
"0,14149055205518300",1,Púrpura; trombocitopênico,Aberrações cromossômicas
"0,21840386080896900",1,Púrpura; trombocitopênico trombótico,Aberrações cromossômicas
"0,28142618860094",2,Reflexo; anormal,Aberrações cromossômicas
"0,35190396748220300",1,Dislexia; adquirida,Aberrações do cromossomo sexual
"0,22117885210425900",1,Perda auditiva; bilateral,Aberrações do cromossomo sexual
"0,14149055205518300",1,Púrpura; trombocitopênico,Aberrações do cromossomo sexual
"0,42213928290141",3,Reflexo; anormal,Aberrações do cromossomo sexual
"0,28142618860094",2,Reflexo; anormal,Abetalipoproteinemia
"0,8769360795925120",61,Abdômen; agudo,Abscesso
"0,672768053912806",3,Angina; instável,Abscesso
"0,14547799898926500",7,Bexiga urinária; neurogênica,Abscesso
"0,21427956495556400",1,Débito cardíaco; baixo,Abscesso
"0,1744765519935000",1,Distúrbios da marcha; neurológicos,Abscesso
"0,13422842578131600",8,Dor; pós-operatório,Abscesso
"0,476369914499612",17,Incontinência urinária; estresse,Abscesso
"0,35058799047491200",2,Obesidade; mórbida,Abscesso
"0,22117885210425900",1,Perda auditiva; bilateral,Abscesso
"0,22674202170287400",1,Perda auditiva; condutor,Abscesso
"0,4003547990270650",1,Perda auditiva; mista-sensorineural,Abscesso
"0,5994643262233620",3,Púrpura; Schoenlein-Henoch,Abscesso
"0,14149055205518300",1,Púrpura; trombocitopênico,Abscesso
"0,22560435300466400",1,Visão; baixa,Abscesso
"0,1868880169623380",13,Abdômen; agudo,Abscesso abdominal
"0,20782571284180700",1,Bexiga urinária; neurogênica,Abscesso abdominal
"0,2281245322020590",1,Diarréia; infantil,Abscesso abdominal
"0,16778553222664500",1,Dor; pós-operatório,Abscesso abdominal
"0,24980286321774700",1,Icterícia; obstrutiva,Abscesso abdominal
"0,5604351935289550",2,Incontinência urinária; estresse,Abscesso abdominal
"0,525881985712368",3,Obesidade; mórbida,Abscesso abdominal
"0,14376001304795200",1,Abdômen; agudo,Abscesso cerebral
"0,6221822898588770",2,Afasia; Broca,Abscesso cerebral
"0,4156514256836150",2,Bexiga urinária; neurogênica,Abscesso cerebral
"0,4534840434057490",2,Perda auditiva; condutor,Abscesso cerebral
"0,12148558604642900",1,Perda auditiva; neurinhaural,Abscesso cerebral
"0,28142618860094",2,Reflexo; anormal,Abscesso cerebral
"0,15813601435274800",11,Abdômen; agudo,Abscesso de fígado
"0,2281245322020590",1,Diarréia; infantil,Abscesso de fígado
"0,19929833713269800",1,Dor; intratável,Abscesso de fígado
"0,4996057264354950",2,Icterícia; obstrutiva,Abscesso de fígado
"0,22117885210425900",1,Perda auditiva; bilateral,Abscesso de fígado
"0,19982144207445400",1,Púrpura; Schoenlein-Henoch,Abscesso de fígado
"0,4368077216179390",2,Púrpura; trombocitopênico trombótico,Abscesso de fígado
"0,16778553222664500",1,Dor; pós-operatório,Abscesso de psoas
"0,28021759676447700",1,Incontinência urinária; estresse,Abscesso de psoas
"0,19982144207445400",1,Púrpura; Schoenlein-Henoch,Abscesso de psoas
"0,14376001304795200",1,Abdômen; agudo,Abscesso periapical
"0,33557106445329100",2,Dor; pós-operatório,Abscesso periapical
"0,2875200260959050",2,Abdômen; agudo,Abscesso peridural
"0,31109114492943800",1,Afasia; Broca,Abscesso peridural
"0,67114212890658300",4,Dor; pós-operatório,Abscesso peridural
"0,4003547990270650",1,Perda auditiva; mista-sensorineural,Abscesso peridural
"0,31109114492943800",1,Afasia; Broca,Abscesso pulmonar
"0,35058799047491200",2,Obesidade; mórbida,Abscesso pulmonar
"0,36745245776624300",1,Púrpura; hiperglobulinêmico,Abscesso pulmonar
"0,4534840434057490",2,Perda auditiva; condutor,Abscesso retrofaríngeo
"0,4312800391438580",3,Abdômen; agudo,Abscesso subfarênico
"0,31712036795505000",1,Paraparesia; espástica,Abuso de maconha
"0,12148558604642900",1,Perda auditiva; neurinhaural,Acanthamoeba queratite
"0,22560435300466400",1,Visão; baixa,Acanthamoeba queratite
"0,2281245322020590",1,Diarréia; infantil,Acanthose Nigricans
"0,525881985712368",3,Obesidade; mórbida,Acanthose Nigricans
"0,24297117209285800",2,Perda auditiva; neurinhaural,Acanthose Nigricans
"0,6531898094279750",2,Baú da angina; varia,Achalasia esofágica
"0,19929833713269800",1,Dor; intratável,Achalasia esofágica
"0,16778553222664500",1,Dor; pós-operatório,Achalasia esofágica
"0,1227057966662190",7,Obesidade; mórbida,Achalasia esofágica
"0,36468730463319200",1,Ophthalmoplegia; externo progressivo crônico,Achalasia esofágica
"0,3034147433082550",1,Paralisia supranuclear; progressiva,Achalasia esofágica
"0,28142618860094",2,Reflexo; anormal,Achalasia esofágica
"0,4562490644041180",2,Diarréia; infantil,Achloridria
"0,12938401174315700",9,Abdômen; agudo,Acidose
"0,20782571284180700",1,Bexiga urinária; neurogênica,Acidose
"0,10713978247778200",5,Débito cardíaco; baixo,Acidose
"0,6615611433859710",29,Diarréia; infantil,Acidose
"0,16778553222664500",1,Dor; pós-operatório,Acidose
"0,17529399523745600",1,Obesidade; mórbida,Acidose
"0,14071309430047",1,Reflexo; anormal,Acidose
"0,22560435300466400",1,Visão; baixa,Acidose
"0,16778553222664500",1,Dor; pós-operatório,Acne vulgaris
"0,19982144207445400",1,Púrpura; Schoenlein-Henoch,Acne vulgaris
"0,33985935217461700",1,Amnésia; retrógrada,Acorde
"0,20782571284180700",1,Bexiga urinária; neurogênica,Acorde
"0,3752233561989740",1,Dispnéia; paroxística,Acorde
"0,1744765519935000",1,Distúrbios da marcha; neurológicos,Acorde
"0,5978950113980960",3,Dor; intratável,Acorde
"0,28021759676447700",1,Incontinência urinária; estresse,Acorde
"0,12148558604642900",1,Perda auditiva; neurinhaural,Acorde
"0,25853020293441600",1,Perda auditiva; repentina,Acorde
"0,22674202170287400",1,Perda auditiva; condutor,Acro-osteólise
"0,18139361736229900",8,Perda auditiva; condutor,Acrocefalossíndactilia
"0,6074279302321470",5,Perda auditiva; neurinhaural,Acrocefalossíndactilia
"0,3878117047435000",17,Diarréia; infantil,Acrodermatite
"0,12148558604642900",1,Perda auditiva; neurinhaural,Acrodermatite
"0,4285591299111290",2,Débito cardíaco; baixo,Acromegalia
"0,19929833713269800",1,Dor; intratável,Acromegalia
"0,35190396748220300",1,Edema; cardíaco,Acromegalia
"0,24980286321774700",1,Icterícia; obstrutiva,Acromegalia
"0,32536032113175700",1,Perda auditiva; central,Acromegalia
"0,4534840434057490",2,Perda auditiva; condutor,Acromegalia
"0,12148558604642900",1,Perda auditiva; neurinhaural,Acromegalia
"0,14071309430047",1,Reflexo; anormal,Acromegalia
"0,23001602087672400",16,Abdômen; agudo,Actinomicose
"0,5604351935289550",2,Incontinência urinária; estresse,Actinomicose
"0,35058799047491200",2,Obesidade; mórbida,Actinomicose
"0,4534840434057490",2,Perda auditiva; condutor,Actinomicose
"0,12148558604642900",1,Perda auditiva; neurinhaural,Actinomicose
"0,319406181762656",1,Perda auditiva; induzida por ruído,Addisionia
"0,36445675813928800",3,Perda auditiva; neurinhaural,Addisionia
"0,5319120482774250",37,Abdômen; agudo,Adenocarcinoma
"0,31109114492943800",1,Akithia; induzida por drogas,Adenocarcinoma
"0,22425601797093500",1,Angina; instável,Adenocarcinoma
"0,6531898094279750",2,Baú da angina; varia,Adenocarcinoma
"0,831302851367231",4,Bexiga urinária; neurogênica,Adenocarcinoma
"0,21427956495556400",1,Débito cardíaco; baixo,Adenocarcinoma
"0,35190396748220300",1,Dislexia; adquirida,Adenocarcinoma
"0,3489531039870000",2,Distúrbios da marcha; neurológicos,Adenocarcinoma
"0,39859667426539700",20,Dor; intratável,Adenocarcinoma
"0,13422842578131600",8,Dor; pós-operatório,Adenocarcinoma
"0,5245860127572700",21,Icterícia; obstrutiva,Adenocarcinoma
"0,8406527902934320",3,Incontinência urinária; estresse,Adenocarcinoma
"0,31552919142742000",18,Obesidade; mórbida,Adenocarcinoma
"0,6068294866165100",2,Paralisia supranuclear; progressiva,Adenocarcinoma
"0,4423577042085190",2,Perda auditiva; bilateral,Adenocarcinoma
"0,22674202170287400",1,Perda auditiva; condutor,Adenocarcinoma
"0,9718846883714350",8,Perda auditiva; neurinhaural,Adenocarcinoma
"0,51706040586883200",2,Perda auditiva; repentina,Adenocarcinoma
"0,13987500945211700",7,Púrpura; Schoenlein-Henoch,Adenocarcinoma
"0,5659622082207320",4,Púrpura; trombocitopênico,Adenocarcinoma
"0,3712865633752480",17,Púrpura; trombocitopênico trombótico,Adenocarcinoma
"0,14071309430047",1,Reflexo; anormal,Adenocarcinoma
"0,22560435300466400",1,Visão; baixa,Adenocarcinoma
"0,4540690922354010",10,Vomitando; antecipatório,Adenocarcinoma
"0,8625600782877170",6,Abdômen; agudo,Adenoma
"0,20782571284180700",1,Bexiga urinária; neurogênica,Adenoma
"0,6428386948666940",3,Débito cardíaco; baixo,Adenoma
"0,1744765519935000",1,Distúrbios da marcha; neurológicos,Adenoma
"0,16778553222664500",1,Dor; pós-operatório,Adenoma
"0,14988171793064800",6,Icterícia; obstrutiva,Adenoma
"0,28021759676447700",1,Incontinência urinária; estresse,Adenoma
"0,35058799047491200",2,Obesidade; mórbida,Adenoma
"0,9069680868114990",4,Perda auditiva; condutor,Adenoma
"0,4003547990270650",1,Perda auditiva; mista-sensorineural,Adenoma
"0,36445675813928800",3,Perda auditiva; neurinhaural,Adenoma
"0,42447165616554900",3,Púrpura; trombocitopênico,Adenoma
"0,14071309430047",1,Reflexo; anormal,Adenoma
"0,4512087060093280",2,Visão; baixa,Adenoma
"0,17529399523745600",1,Obesidade; mórbida,Adenoma adrenocortical
"0,17529399523745600",1,Obesidade; mórbida,Adenoma da hipófise secretor de ACTH
"0,21427956495556400",1,Débito cardíaco; baixo,Adenoma de hipófise secretor de hormônio do crescimento
"0,24980286321774700",1,Icterícia; obstrutiva,Adenomioma
"0,14376001304795200",10,Abdômen; agudo,Adesões de tecido
"0,19929833713269800",1,Dor; intratável,Adesões de tecido
"0,11744987255865200",7,Dor; pós-operatório,Adesões de tecido
"0,28021759676447700",1,Incontinência urinária; estresse,Adesões de tecido
"0,22674202170287400",1,Perda auditiva; condutor,Adesões de tecido
"0,5978950113980960",3,Dor; intratável,Adipsis dolorosos
"0,35058799047491200",2,Obesidade; mórbida,Adipsis dolorosos
"0,4156514256836150",2,Bexiga urinária; neurogênica,Adrenoleukodystrophy
"0,2944676030252050",1,Cegueira; cortical,Adrenoleukodystrophy
"0,5234296559805000",3,Distúrbios da marcha; neurológicos,Adrenoleukodystrophy
"0,15856018397752500",5,Paraparesia; espástica,Adrenoleukodystrophy
"0,35270718465193000",1,Reflex; Babinski,Adrenoleukodystrophy
"0,28142618860094",2,Reflexo; anormal,Adrenoleukodystrophy
"0,4512087060093280",2,Visão; baixa,Adrenoleukodystrophy
"0,22117885210425900",1,Perda auditiva; bilateral,Adultos Scleredema
"0,16332285108795500",525,Afasia; Broca,Afasia
