TFIDF score,PubMed occurrence,MeSH (Medical Subject Headings) Symptom Term Concatenado,MeSH (Medical Subject Headings) Disease Term
"0,2649435403291060",137,Púrpura; trombocitopênico; idiopático,Anemia; hemolítica; autoimune
"0,77355778198279200",4,Púrpura; trombocitopênico; idiopático,Anemia; hemolítica; congênita
"0,19338944549569800",1,Púrpura; trombocitopênico; idiopático,Bebê; prematuro; doenças
"0,13537261184698800",7,Púrpura; trombocitopênico; idiopático,Bebê; recém-nascido; doenças
"0,5801683364870940",3,Púrpura; trombocitopênico; idiopático,Carcinoma; ductal; mama
"0,19338944549569800",1,Púrpura; trombocitopênico; idiopático,Hematoma; peridural; craniano
"0,19338944549569800",1,Púrpura; trombocitopênico; idiopático,Hematoma; peridural; espinhal
"0,38677889099139600",2,Púrpura; trombocitopênico; idiopático,Hematoma; subdural; crônico
"0,19338944549569800",1,Púrpura; trombocitopênico; idiopático,Hepatite; viral; humana
"0,7155409483340830",37,Púrpura; trombocitopênico; idiopático,Leucemia; linfocítica; crônica; células B
"0,77355778198279200",4,Púrpura; trombocitopênico; idiopático,Leucemia; mielogênica; crônica; BCR-ABL POSITIVA
"0,19338944549569800",1,Púrpura; trombocitopênico; idiopático,Leucemia; mielóide; aguda
"0,5801683364870940",3,Púrpura; trombocitopênico; idiopático,Leucemia; mielomonocítica; crônica
"0,19338944549569800",1,Púrpura; trombocitopênico; idiopático,Leucemia; monocítica; aguda
"0,19338944549569800",1,Púrpura; trombocitopênico; idiopático,Leucemia; promielocítica; aguda
"0,5801683364870940",3,Púrpura; trombocitopênico; idiopático,Linfoma; células B grandes; difuso
"0,77355778198279200",4,Púrpura; trombocitopênico; idiopático,Linfoma; células B; zona marginal
"0,57726749480465900",2985,Púrpura; trombocitopênico; idiopático,Púrpura; trombocitopênico; idiopático
"0,38677889099139600",2,Púrpura; trombocitopênico; idiopático,Vasculite; leucocitoclástica; cutânea
"0,5801683364870940",3,Púrpura; trombocitopênico; idiopático,Aborto; habitual
"0,19338944549569800",1,Púrpura; trombocitopênico; idiopático,Abuso de substâncias; intravenoso
"0,19338944549569800",1,Púrpura; trombocitopênico; idiopático,Acidose; tubular renal
"0,19338944549569800",1,Púrpura; trombocitopênico; idiopático,Adenocarcinoma; papilar
"0,19338944549569800",1,Púrpura; trombocitopênico; idiopático,Adenoma; célula hepática
"0,425456780090536",22,Púrpura; trombocitopênico; idiopático,Anemia; aplástica
"0,19338944549569800",1,Púrpura; trombocitopênico; idiopático,Anemia; célula falciforme
"0,77355778198279200",4,Púrpura; trombocitopênico; idiopático,Anemia; deficiência de ferro
"0,4061178355409660",21,Púrpura; trombocitopênico; idiopático,Anemia; hemolítica
"0,19338944549569800",1,Púrpura; trombocitopênico; idiopático,Anemia; hipocrômica
"0,5801683364870940",3,Púrpura; trombocitopênico; idiopático,Anemia; perniciosa
"0,19338944549569800",1,Púrpura; trombocitopênico; idiopático,Anemia; refratária
"0,19338944549569800",1,Púrpura; trombocitopênico; idiopático,Aneurisma aórtico; abdominal
"0,19338944549569800",1,Púrpura; trombocitopênico; idiopático,Aneurysma; rompido
"0,19338944549569800",1,Púrpura; trombocitopênico; idiopático,Angina; instável
"0,19338944549569800",1,Púrpura; trombocitopênico; idiopático,Angiomatose; bacilar
"0,38677889099139600",2,Púrpura; trombocitopênico; idiopático,Anormalidades; múltiplas
"0,17405050094612800",9,Púrpura; trombocitopênico; idiopático,Aplasia de células vermelhas; puro
"0,19338944549569800",1,Púrpura; trombocitopênico; idiopático,Artrite; experimental
"0,19338944549569800",1,Púrpura; trombocitopênico; idiopático,Artrite; psoriática
"0,19338944549569800",1,Púrpura; trombocitopênico; idiopático,Artrite; reativa
"0,11603366729741800",6,Púrpura; trombocitopênico; idiopático,Artrite; reumatóide
"0,5801683364870940",3,Púrpura; trombocitopênico; idiopático,Artrite; reumatóide juvenil
"0,5801683364870940",3,Púrpura; trombocitopênico; idiopático,Aspergilose; broncopulmonar alérgico
"0,19338944549569800",1,Púrpura; trombocitopênico; idiopático,Ataque isquêmico; transitório
"0,19338944549569800",1,Púrpura; trombocitopênico; idiopático,Carcinoma; célula de transição
"0,9669472274784900",5,Púrpura; trombocitopênico; idiopático,Carcinoma; célula escamosa
"0,19338944549569800",1,Púrpura; trombocitopênico; idiopático,Carcinoma; célula renal
"0,19338944549569800",1,Púrpura; trombocitopênico; idiopático,Carcinoma; endometrioide
"0,19338944549569800",1,Púrpura; trombocitopênico; idiopático,Carcinoma; hepatocelular
"0,38677889099139600",2,Púrpura; trombocitopênico; idiopático,Carcinoma; pequena célula
"0,19338944549569800",1,Púrpura; trombocitopênico; idiopático,Carcinoma; pulmão de células não pequenas
"0,38677889099139600",2,Púrpura; trombocitopênico; idiopático,Carcinoma; Sinete Ring Cell
"0,38677889099139600",2,Púrpura; trombocitopênico; idiopático,Choque; séptico
"0,17405050094612800",9,Púrpura; trombocitopênico; idiopático,Cirrose hepática; biliar
"0,19338944549569800",1,Púrpura; trombocitopênico; idiopático,Colangite; esclerosante
"0,27074522369397700",14,Púrpura; trombocitopênico; idiopático,Colite; ulcerosa
"0,19338944549569800",1,Púrpura; trombocitopênico; idiopático,Complexos cardíacos; prematuros
"0,19919112886056900",103,Púrpura; trombocitopênico; idiopático,Complicações da gravidez; hematológicas
"0,19338944549569800",1,Púrpura; trombocitopênico; idiopático,Defeitos cardíacos; congênitos
"0,19338944549569800",1,Púrpura; trombocitopênico; idiopático,Defeitos do septo cardíaco; ventricular
"0,19338944549569800",1,Púrpura; trombocitopênico; idiopático,Demência; vascular
"0,19338944549569800",1,Púrpura; trombocitopênico; idiopático,Dermatite; atópica
"0,9669472274784900",5,Púrpura; trombocitopênico; idiopático,Diabetes mellitus; tipo 1
"0,19338944549569800",1,Púrpura; trombocitopênico; idiopático,Diabetes; gestacional
"0,19338944549569800",1,Púrpura; trombocitopênico; idiopático,Displasia ectodérmica 1; Anhidrótica
"0,19338944549569800",1,Púrpura; trombocitopênico; idiopático,Distrofia muscular; Duchenne
"0,38677889099139600",2,Púrpura; trombocitopênico; idiopático,Doença granulomatosa; crônica
"0,38677889099139600",2,Púrpura; trombocitopênico; idiopático,Doenças genéticas; inatos
"0,38677889099139600",2,Púrpura; trombocitopênico; idiopático,Doenças pulmonares; fungos
"0,11603366729741800",6,Púrpura; trombocitopênico; idiopático,Doenças pulmonares; intersticiais
"0,19338944549569800",1,Púrpura; trombocitopênico; idiopático,Eliptocitose; hereditária
"0,19338944549569800",1,Púrpura; trombocitopênico; idiopático,Embolia; paradoxal
"0,19338944549569800",1,Púrpura; trombocitopênico; idiopático,Encefalomielite; disseminado agudo
"0,19338944549569800",1,Púrpura; trombocitopênico; idiopático,Endocardite; bacteriana
"0,19338944549569800",1,Púrpura; trombocitopênico; idiopático,Epilepsia; tônica-clônica
