alimento,Grupo
Ovo Orgânico..,super Alimentos
Água com Limão em Jejum,super Alimentos
Óleo de Coco Extravirgem,super Alimentos
Azeite de Oliva Extra Virgem,super Alimentos
Açafrão,super Alimentos
Gengibre,super Alimentos
Maca Peruana,super Alimentos
Kefir de Água,super Alimentos
Kefir Leite de Côco,super Alimentos
Vinagre de Maçã Orgânico,super Alimentos
Abacate,super Alimentos
Água Filtrada,super Alimentos
Sal Do Himalaia,super Alimentos
Maçã,super Alimentos
Quinoa,super Alimentos
Aveia,super Alimentos
Glúten,Não Comer
Açúcar,Não Comer
Leite,Não Comer
Álcool,Não Comer
Gorduras Ruins (ex.: Margarina),Não Comer
Trigo,Não Comer
Margarina,Não Comer
Óleo de Soja,Não Comer
Refrigerante,Não Comer
Gorduras trans,Não Comer
Super Processados,Não Comer
Conservantes,Não Comer
Salsicha,Não Comer
