Grupos Doencas,Doencas
PubMed,Síndrome da Imune Deficiência Adquirida (AIDS) (Transtorno)
PubMed,Doença aguda
PubMed,Faringite aguda
PubMed,Síndrome de Stokes-Adams-Morgagni
PubMed,Ambliopia
PubMed,Amenorréia
PubMed,Angina de Prinzmetal
PubMed,Anoréxico
PubMed,Anuria
PubMed,Astenopia acomodativa
PubMed,Retinopatia diabética não proliferativa
PubMed,Retinopatia de fundo
PubMed,Transtorno dos gânglios da base
PubMed,Transtorno da visão binocular
PubMed,Cisto ósseo
PubMed,Transtorno do cérebro
PubMed,Transtorno da mama
PubMed,Transtorno de Bronchus
PubMed,Síndrome da boca em chamas
PubMed,Transtorno do sistema cardiovascular
PubMed,"Síndrome da dor regional complexa, tipo II"
PubMed,Transtorno do sistema nervoso central
PubMed,Síndrome da deficiência cerebelar
PubMed,Dissynergia cerebellaris myoclonica
PubMed,Neuralgia do cervicobrachial
PubMed,Neuralgia cervico-occipital
PubMed,Doença de Chagas sem menção ao envolvimento de órgãos (desordem)
PubMed,Coréia
PubMed,Doença crônica
PubMed,Rinite crônica
PubMed,Dor de cabeça de cluster
PubMed,Transtorno do cólon
PubMed,Coma
PubMed,Gripe comum
PubMed,Condiloma acuminatum
PubMed,Convulsão febril
PubMed,Carcinoma in situ do esôfago
PubMed,Transtorno da córnea
PubMed,Espasmo da artéria coronariana
PubMed,Cãs de banho
PubMed,Neuralgia craniana
PubMed,5p Síndrome de monossomia parcial
PubMed,Endometriose cutânea
PubMed,Dificuldade em engolir
PubMed,Acreção nos dentes
PubMed,Dentina sensível
PubMed,Dermatite
PubMed,Eritroderma generalizada
PubMed,Dispraxia
PubMed,Diabetes mellitus
PubMed,Retinopatia diabética
PubMed,Diplopia
PubMed,Doença (desordem)
PubMed,Trisomia completa 21 Síndrome
PubMed,Insuficiência do filme lacrimal
PubMed,Doença diarréica infecciosa
PubMed,Diskinesia
PubMed,Dor na genitália feminina na relação sexual
PubMed,Dispnéia paroxística
PubMed,Distonia de torção
PubMed,Transtorno do ouvido
PubMed,Eclampsia
PubMed,Deficiência nutricional devido a alimentos insuficientes
PubMed,Endocardite bacteriana subaguda
PubMed,Transtorno do sistema endócrino
PubMed,Endometriose (clínica)
PubMed,Endometriose do tubo de falópio
PubMed,"Necrólise epidérmica tóxica de Lyell, tipo subepidérmico"
PubMed,Convulsão epiléptica
PubMed,Epilepsia relacionada à localização
PubMed,Epilepsia generalizada
PubMed,Epilepsia tônica-clônica
PubMed,Apreensão mioclônica
PubMed,Crise de ausência
PubMed,Epilepsia do lobo temporal
PubMed,Intertrigo candidal
PubMed,Eritema crônica migrans
PubMed,Eritema multiforme
PubMed,Dermatose eritematosquâmica
PubMed,Eritomelalgia
PubMed,Eritomelalgia primária
PubMed,Estenose do esôfago
PubMed,Erupção cutânea
PubMed,EXOFTALALMOS
PubMed,Doença extrapiramidal
PubMed,Transtorno do olho adequado
PubMed,Transtorno da pálpebra
PubMed,Falha em prosperar
PubMed,Pulmão dos agricultores
PubMed,Síndrome da fadiga crônica
PubMed,Incontinência de fezes
PubMed,Status fetal não causador
PubMed,Fibronsite
PubMed,Convulsão parcial simples com disfunção motor
PubMed,Cisto de erupção
PubMed,Freemartin
PubMed,Transtorno funcional do intestino
PubMed,Epilepsia não conversiva generalizada
PubMed,Transtorno do sistema genital feminino
PubMed,Transtorno de órgão genital masculino
PubMed,Granuloma laríngeo
PubMed,Perda auditiva central
PubMed,Cegueira diurna
PubMed,Paresia unilateral
PubMed,Hematotimpano
PubMed,Hiperemese de forma leve
PubMed,Hiperestesia dolorosa
PubMed,Distúrbios de sonolência excessiva
PubMed,Transtorno hipertensivo
PubMed,Crescimento excessivo do cabelo
PubMed,Ictiose congênita da pele
PubMed,Transtorno neonatal
PubMed,Distúrbios de iniciar e manter o sono
PubMed,Intertrigo
PubMed,Transtorno do intestino
PubMed,Icterícia neonatal
PubMed,Síndrome de icterícia colestática
PubMed,Transtorno da mandíbula
PubMed,Síndrome oculocraniosomomática
PubMed,Leukoplakia do pênis
PubMed,Transtorno labirinto
PubMed,Distúrbio do sistema lacrimal
PubMed,Transtorno de fala e linguagem
PubMed,Espasmo laríngeo
PubMed,Leucorréia
PubMed,Transtorno do lábio
PubMed,Doença do fígado
PubMed,"Linfadenite não especificada, excluindo linfadeiro mesentérico"
PubMed,Cisto linfático
PubMed,Febre da malária
PubMed,Melanose (anormalidade morfológica)
PubMed,Chloasma
PubMed,Doença de Ménière
PubMed,Doença infecciosa meningocócica
PubMed,Doença metabólica
PubMed,Doença de movimento
PubMed,Fluorose dentária
PubMed,Doença da boca
PubMed,Transtorno do movimento
PubMed,Transtorno do músculo
PubMed,Mialgia e miosite não especificados
PubMed,Myxedema
PubMed,Transtorno da unha
PubMed,Narcolepsia
PubMed,Neuralgia nasociliar
PubMed,Transtorno da nasofaringe
PubMed,Transtorno do sistema nervoso
PubMed,Transtorno do nariz
PubMed,Transtorno nutricional
PubMed,Nistagmo (desordem)
PubMed,Transtorno dos movimentos oculares
PubMed,Omfalite
PubMed,Pachydermoperiostosis de unha
PubMed,Outras doenças e não especificados do tecido mole oral
PubMed,Outras doenças hepáticas crônicas não alcoólicas
PubMed,Outra cavidade nasal e doença sinusal
PubMed,Outros distúrbios do metabolismo da proteína plasmática nos
PubMed,Outras formas de nistagmo
PubMed,Outros distúrbios especificados do músculo
PubMed,Outras doenças especificadas de tecidos duros dos dentes
PubMed,Outras doenças especificadas do pâncreas
PubMed,Outros distúrbios especificados da bexiga
PubMed,Outros distúrbios especificados de rim e ureter
PubMed,Outros distúrbios especificados de órgãos genitais masculinos
PubMed,Outros distúrbios especificados do pênis
PubMed,Outros distúrbios da pele especificados
PubMed,Outros distúrbios especificados de dentes e estruturas de apoio
PubMed,Outras condições eritematosas especificadas
PubMed,Outras condições atróficas e hipertróficas especificadas da pele
PubMed,Outros distúrbios mioneurais especificados
PubMed,Outros distúrbios não inflamatórios especificados da vagina
PubMed,Outras doenças periodontais especificadas
PubMed,Outros Schistosoma nos especificados
