SubCapitulo,Classe
Doenças infecciosas intestinais (A00-A09),Cólera
Doenças infecciosas intestinais (A00-A09),Febres tifóide e paratifóide
Doenças infecciosas intestinais (A00-A09),Outras infecções por Salmonella
Doenças infecciosas intestinais (A00-A09),Shiguelose
Doenças infecciosas intestinais (A00-A09),Outras infecções intestinais bacterianas
Doenças infecciosas intestinais (A00-A09),"Outras intoxicações alimentares bacterianas, não classificadas em outra parte"
Doenças infecciosas intestinais (A00-A09),Amebíase
Doenças infecciosas intestinais (A00-A09),Outras doenças intestinais por protozoários
Doenças infecciosas intestinais (A00-A09),"Infecções intestinais virais, outras e as não especificadas"
Doenças infecciosas intestinais (A00-A09),Diarréia e gastroenterite de origem infecciosa presumível
Tuberculose (A15-A19),"Tuberculose respiratória, com confirmação bacteriológica e histológica"
Tuberculose (A15-A19),"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica"
Tuberculose (A15-A19),Tuberculose do sistema nervoso
Tuberculose (A15-A19),Tuberculose de outros órgãos
Tuberculose (A15-A19),Tuberculose miliar
Algumas doenças bacterianas zoonóticas (A20-A28),Peste
Algumas doenças bacterianas zoonóticas (A20-A28),Tularemia
Algumas doenças bacterianas zoonóticas (A20-A28),Carbúnculo
Algumas doenças bacterianas zoonóticas (A20-A28),Brucelose
Algumas doenças bacterianas zoonóticas (A20-A28),Mormo e melioidose
Algumas doenças bacterianas zoonóticas (A20-A28),Febres transmitidas por mordedura de rato
Algumas doenças bacterianas zoonóticas (A20-A28),Erisipelóide
Algumas doenças bacterianas zoonóticas (A20-A28),Leptospirose
Algumas doenças bacterianas zoonóticas (A20-A28),Outras doenças bacterianas zoonóticas não classificadas em outra parte
Outras doenças bacterianas (A30-A49),Hanseníase [doença de Hansen] [lepra]
Outras doenças bacterianas (A30-A49),Infecções devidas a outras micobactérias
Outras doenças bacterianas (A30-A49),Listeriose [listeríase]
Outras doenças bacterianas (A30-A49),Tétano do recém-nascido [neonatal]
Outras doenças bacterianas (A30-A49),Tétano obstétrico
Outras doenças bacterianas (A30-A49),Outros tipos de tétano
Outras doenças bacterianas (A30-A49),Difteria
Outras doenças bacterianas (A30-A49),Coqueluche
Outras doenças bacterianas (A30-A49),Escarlatina
Outras doenças bacterianas (A30-A49),Infecção meningogócica
Outras doenças bacterianas (A30-A49),Septicemia estreptocócica
Outras doenças bacterianas (A30-A49),Outras septicemias
Outras doenças bacterianas (A30-A49),Actinomicose
Outras doenças bacterianas (A30-A49),Nocardiose
Outras doenças bacterianas (A30-A49),Bartonelose
Outras doenças bacterianas (A30-A49),Erisipela
Outras doenças bacterianas (A30-A49),Outras doenças bacterianas não classificadas em outra parte
Outras doenças bacterianas (A30-A49),Infecção bacteriana de localização não especificada
Infecções de transmissão predominantemente sexual (A50-A64),Sífilis congênita
Infecções de transmissão predominantemente sexual (A50-A64),Sífilis precoce
Infecções de transmissão predominantemente sexual (A50-A64),Sífilis tardia
Infecções de transmissão predominantemente sexual (A50-A64),Outras formas e as não especificadas da sífilis
Infecções de transmissão predominantemente sexual (A50-A64),Infecção gonocócica
Infecções de transmissão predominantemente sexual (A50-A64),Linfogranuloma (venéreo) por clamídia
Infecções de transmissão predominantemente sexual (A50-A64),Outras infecções causadas por clamídias transmitidas por via sexual
