Classe,DESCRICAO
Cólera,"Cólera devida a Vibrio cholerae 01, biótipo cholerae"
Cólera,"Cólera devida a Vibrio cholerae 01, biótipo El Tor"
Cólera,Cólera não especificada
Febres tifóide e paratifóide,Febre tifóide
Febres tifóide e paratifóide,Febre paratifóide A
Febres tifóide e paratifóide,Febre paratifóide B
Febres tifóide e paratifóide,Febre paratifóide C
Febres tifóide e paratifóide,Febre paratifóide não especificada
Outras infecções por Salmonella,Enterite por salmonela
Outras infecções por Salmonella,Septicemia por salmonela
Outras infecções por Salmonella,Infecções localizadas por salmonela
Outras infecções por Salmonella,Outras infecções especificadas por salmonela
Outras infecções por Salmonella,Infecção não especificada por salmonela
Shiguelose,Shiguelose devida a Shigella dysenteriae
Shiguelose,Shiguelose devida a Shigella flexneri
Shiguelose,Shiguelose devida a Shigella boydii
Shiguelose,Shiguelose devida a Shigella sonnei
Shiguelose,Outras shigueloses
Shiguelose,Shiguelose não especificada
Outras infecções intestinais bacterianas,Infecção por Escherichia coli enteropatogênica
Outras infecções intestinais bacterianas,Infecção por Escherichia coli enterotoxigênica
Outras infecções intestinais bacterianas,Infecção por Escherichia coli enteroinvasiva
Outras infecções intestinais bacterianas,Infecção por Escherichia coli enterohemorrágica
Outras infecções intestinais bacterianas,Outras infecções intestinais por Escherichia coli
Outras infecções intestinais bacterianas,Enterite por Campylobacter
Outras infecções intestinais bacterianas,Enterite devida a Yersinia enterocolítica
Outras infecções intestinais bacterianas,Enterocolite devida a Clostridium difficile
Outras infecções intestinais bacterianas,Outras infecções bacterianas intestinais especificadas
Outras infecções intestinais bacterianas,Infecção intestinal bacteriana não especificada
"Outras intoxicações alimentares bacterianas, não classificadas em outra parte",Intoxicação alimentar estafilocócica
"Outras intoxicações alimentares bacterianas, não classificadas em outra parte",Botulismo
"Outras intoxicações alimentares bacterianas, não classificadas em outra parte",Intoxicação alimentar devida a Clostridium perfringens [Clostridium welchii]
"Outras intoxicações alimentares bacterianas, não classificadas em outra parte",Intoxicação alimentar devida a Vibrio parahemolyticus
