tipo relacao,valor da correlacao,MeSH Disease Terms isolados,MeSH Disease Term Concatenados
1 para n,"0,14744811071121300",Aberrações cromossômicas,Albinismo; ocular
1 para n,"0,12829033637943100",Aberrações cromossômicas,Ânus; imperforado
1 para n,"0,8825673672964800",Aberrações cromossômicas,Deformidades das mãos; congênitas
1 para n,"0,5514547731271740",Aberrações cromossômicas,Deformidades de membros; congênitas
1 para n,"0,7842873760696620",Aberrações cromossômicas,Deformidades de pé; congênitas
1 para n,"0,15529892579702200",Aberrações cromossômicas,Displasia fibrosa; poliotótica
1 para n,"0,24259490504864500",Aberrações cromossômicas,Distrofia muscular; faciososcapulo-humana
1 para n,"0,23119675203262900",Aberrações cromossômicas,Distrofias da córnea; hereditárias
1 para n,"0,4496732869678710",Aberrações cromossômicas,Doenças genéticas; ligadas ao X
1 para n,"0,392592775232538",Aberrações cromossômicas,Doenças oculares; hereditário
1 para n,"0,8797201851389250",Aberrações cromossômicas,Exostoses; múltiplos hereditários
1 para n,"0,16427632344557500",Aberrações cromossômicas,Hérnia; umbilical
1 para n,"0,3557640202930940",Aberrações cromossômicas,Keratoderm; Palmopolntar
1 para n,"0,6035260869919680",Aberrações cromossômicas,Metabolismo de metal; erros inatos
1 para n,"0,2615516054986960",Aberrações cromossômicas,Neoplasias colorretais; não polipose hereditária
1 para n,"0,10507730723394200",Aberrações cromossômicas,Neoplasias; induzidas por radiação
1 para n,"0,36475015278846800",Aberrações cromossômicas,Retardo mental; ligado ao X
1 para n,"0,8502493701922070",Aberrações cromossômicas,Unhas; malformadas
1 para n,"0,1377021224056040",Acanthose Nigricans,46; XY Distúrbios do desenvolvimento sexual
1 para n,"0,18036129265920700",Acanthose Nigricans,Adenoma; oxifílico
1 para n,"0,12983673354379400",Acanthose Nigricans,Deformidades de pé; congênitas
1 para n,"0,10277492838054200",Acanthose Nigricans,Fibromatose; gengival
1 para n,"0,664749712248088",Acanthose Nigricans,Lipodistrofia; parcial familiar
1 para n,"0,1619188876806260",Acanthose Nigricans,Scleroderma; localizado
1 para n,"0,11110377486993900",Acanthose Nigricans,Unhas; malformadas
1 para n,"0,7170033420903570",Acidose,Acidose; lática
1 para n,"0,17010667743281200",Acidose,Cirrose do fígado; experimental
1 para n,"0,1998980492133230",Acidose,Deformidades de membros; congênitas
1 para n,"0,24407968351498100",Acidose,Hérnia; diafragmática
1 para n,"0,1086288262952200",Acidose,Hérnia; umbilical
1 para n,"0,11656392391867300",Acidose,Metabolismo de metal; erros inatos
1 para n,"0,10501372979151700",Acne vulgaris,Anão; hipófise
1 para n,"0,1044039691994260",Acne vulgaris,Deformidades das mãos; congênitas
1 para n,"0,9023950774486860",Acne vulgaris,Dermatite; Seborrheic
1 para n,"0,7403275448786380",Acne vulgaris,Lipodistrofia; parcial familiar
1 para n,"0,5842896877758720",Acne vulgaris,Neoplasias; induzidas por radiação
1 para n,"0,5126939760223070",Acne vulgaris,Puberdade; precoce
1 para n,"0,1277170035993750",Acne vulgaris,Scleroderma; localizado
1 para n,"0,45337590633459900",Acro-osteólise,Hialinose; sistêmica
1 para n,"0,16027283059370200",Acrocefalossíndactilia,Aborto; espontâneo
1 para n,"0,1537142705113660",Acrocefalossíndactilia,Anemia; aplástica
1 para n,"0,12830522077435400",Acrocefalossíndactilia,Anemia; deficiência de ferro
1 para n,"0,19346126384123600",Acrocefalossíndactilia,Anormalidades; induzidas por drogas
1 para n,"0,13302517079917700",Acrocefalossíndactilia,Ânus; imperforado
1 para n,"0,30233163828575100",Acrocefalossíndactilia,Carcinoma; célula basal
1 para n,"0,1340143632398270",Acrocefalossíndactilia,Defeitos cardíacos; congênitos
1 para n,"0,8040678065370550",Acrocefalossíndactilia,Deformidades das mãos; congênitas
1 para n,"0,4466082543964170",Acrocefalossíndactilia,Deformidades de membros; congênitas
1 para n,"0,736096170581097",Acrocefalossíndactilia,Deformidades de pé; congênitas
1 para n,"0,15871253703539000",Acrocefalossíndactilia,Displasia fibrosa; poliotótica
1 para n,"0,23040663018212400",Acrocefalossíndactilia,Distrofia muscular; faciososcapulo-humana
1 para n,"0,3718247136460510",Acrocefalossíndactilia,Doenças genéticas; ligadas ao X
1 para n,"0,4460490954927920",Acrocefalossíndactilia,Doenças oculares; hereditário
1 para n,"0,5678480501972140",Acrocefalossíndactilia,Espasmos; infantil
1 para n,"0,7528229092591570",Acrocefalossíndactilia,Exostoses; múltiplos hereditários
1 para n,"0,7339268614312370",Acrocefalossíndactilia,Fibromatose; gengival
1 para n,"0,1303273051949240",Acrocefalossíndactilia,Fraturas; osso
1 para n,"0,2637989814130810",Acrocefalossíndactilia,Hemangioma; capilar
1 para n,"0,14209096241973800",Acrocefalossíndactilia,Hérnia; diafragmática
1 para n,"0,3563828805386000",Acrocefalossíndactilia,Keratoderm; Palmopolntar
1 para n,"0,7399286767918230",Acrocefalossíndactilia,Metabolismo de aminoácidos; erros inatos
1 para n,"0,4731622850500780",Acrocefalossíndactilia,Metabolismo de metal; erros inatos
1 para n,"0,5342823258370800",Acrocefalossíndactilia,Metabolismo lipídico; erros inatos
1 para n,"0,19718239895458400",Acrocefalossíndactilia,Neoplasias colorretais; não polipose hereditária
1 para n,"0,16035480038015100",Acrocefalossíndactilia,Neoplasias; segundo primário
1 para n,"0,4622004142918700",Acrocefalossíndactilia,Paraplegia espástica; hereditária
1 para n,"0,5200006927528180",Acrocefalossíndactilia,Perda auditiva; condutor
1 para n,"0,22212995465207300",Acrocefalossíndactilia,Retardo mental; ligado ao X
1 para n,"0,14494000034602600",Acrocefalossíndactilia,Tireoidite; autoimune
1 para n,"0,22631392652534900",Acromegalia,Aborto; espontâneo
1 para n,"0,24062761460703500",Acromegalia,Acidose; lática
1 para n,"0,522165355239005",Acromegalia,Anão; hipófise
1 para n,"0,21413464189185000",Acromegalia,Anemia; aplástica
1 para n,"0,29951932932815900",Acromegalia,Anemia; deficiência de ferro
1 para n,"0,15117075613995100",Acromegalia,Anemia; Sideroblástica
