relacao destino,termos relacionados
Albinismo; ocular,Albinismo
Ânus; imperforado,Ânus
Deformidades das mãos; congênitas,Deformidades das mãos
Deformidades de membros; congênitas,Deformidades de membros
Deformidades de pé; congênitas,Deformidades de pé
Displasia fibrosa; poliotótica,Displasia fibrosa
Distrofia muscular; faciososcapulo-humana,Distrofia muscular
Distrofias da córnea; hereditárias,Distrofias da córnea
Doenças genéticas; ligadas ao X,Doenças genéticas
Doenças oculares; hereditário,Doenças oculares
Exostoses; múltiplos hereditários,Exostoses
Hérnia; umbilical,Hérnia
Keratoderm; Palmopolntar,Keratoderm
Metabolismo de metal; erros inatos,Metabolismo de metal
Neoplasias colorretais; não polipose hereditária,Neoplasias colorretais
Neoplasias; induzidas por radiação,Neoplasias
Retardo mental; ligado ao X,Retardo mental
Unhas; malformadas,Unhas
46; XY Distúrbios do desenvolvimento sexual,46
Adenoma; oxifílico,Adenoma
Deformidades de pé; congênitas,Deformidades de pé
Fibromatose; gengival,Fibromatose
Lipodistrofia; parcial familiar,Lipodistrofia
Scleroderma; localizado,Scleroderma
Unhas; malformadas,Unhas
Acidose; lática,Acidose
Cirrose do fígado; experimental,Cirrose do fígado
Deformidades de membros; congênitas,Deformidades de membros
Hérnia; diafragmática,Hérnia
Hérnia; umbilical,Hérnia
Metabolismo de metal; erros inatos,Metabolismo de metal
Anão; hipófise,Anão
Deformidades das mãos; congênitas,Deformidades das mãos
Dermatite; Seborrheic,Dermatite
Lipodistrofia; parcial familiar,Lipodistrofia
Neoplasias; induzidas por radiação,Neoplasias
Puberdade; precoce,Puberdade
Scleroderma; localizado,Scleroderma
Hialinose; sistêmica,Hialinose
Aborto; espontâneo,Aborto
Anemia; aplástica,Anemia
Anemia; deficiência de ferro,Anemia
Anormalidades; induzidas por drogas,Anormalidades
Ânus; imperforado,Ânus
Carcinoma; célula basal,Carcinoma
Defeitos cardíacos; congênitos,Defeitos cardíacos
Deformidades das mãos; congênitas,Deformidades das mãos
Deformidades de membros; congênitas,Deformidades de membros
Deformidades de pé; congênitas,Deformidades de pé
Displasia fibrosa; poliotótica,Displasia fibrosa
Distrofia muscular; faciososcapulo-humana,Distrofia muscular
Doenças genéticas; ligadas ao X,Doenças genéticas
Doenças oculares; hereditário,Doenças oculares
Espasmos; infantil,Espasmos
Exostoses; múltiplos hereditários,Exostoses
Fibromatose; gengival,Fibromatose
Fraturas; osso,Fraturas
Hemangioma; capilar,Hemangioma
Hérnia; diafragmática,Hérnia
Keratoderm; Palmopolntar,Keratoderm
Metabolismo de aminoácidos; erros inatos,Metabolismo de aminoácidos
Metabolismo de metal; erros inatos,Metabolismo de metal
Metabolismo lipídico; erros inatos,Metabolismo lipídico
Neoplasias colorretais; não polipose hereditária,Neoplasias colorretais
Neoplasias; segundo primário,Neoplasias
Paraplegia espástica; hereditária,Paraplegia espástica
Perda auditiva; condutor,Perda auditiva
Retardo mental; ligado ao X,Retardo mental
Tireoidite; autoimune,Tireoidite
Aborto; espontâneo,Aborto
Acidose; lática,Acidose
Anão; hipófise,Anão
Anemia; aplástica,Anemia
Anemia; deficiência de ferro,Anemia
Anemia; Sideroblástica,Anemia
Aneurisma aórtico; abdominal,Aneurisma aórtico
Aneurisma aórtico; torácico,Aneurisma aórtico
Aneurisma; dissecando,Aneurisma
Anormalidades; induzidas por drogas,Anormalidades
Apneia do sono; central,Apneia do sono
Arritmias; cardíaco,Arritmias
Artrite; experimental,Artrite
Artrite; psoriática,Artrite
Artrite; reumatóide juvenil,Artrite
Ataque isquêmico; transitório,Ataque isquêmico
Atrofia muscular; espinhal,Atrofia muscular
Carcinoma; adenóide cístico,Carcinoma
Carcinoma; célula basal,Carcinoma
Carcinoma; célula de transição,Carcinoma
Carcinoma; medular,Carcinoma
Carcinoma; pequena célula,Carcinoma
Cardiomiopatia; dilatada,Cardiomiopatia
Cardiomiopatia; hipertrófica,Cardiomiopatia
Choque; séptico,Choque
Cirrose do fígado; experimental,Cirrose do fígado
Cistadenocarcinoma; seroso,Cistadenocarcinoma
Colite; ulcerosa,Colite
Defeitos cardíacos; congênitos,Defeitos cardíacos
Defeitos do septo cardíaco; atrial,Defeitos do septo cardíaco
Deformidades das mãos; congênitas,Deformidades das mãos
Deformidades de membros; congênitas,Deformidades de membros
Deformidades de pé; congênitas,Deformidades de pé
Dermatite; Seborrheic,Dermatite
Diabetes mellitus; tipo 1,Diabetes mellitus
Displasia fibrosa; poliotótica,Displasia fibrosa
Distrofia muscular; Duchenne,Distrofia muscular
Distrofia muscular; faciososcapulo-humana,Distrofia muscular
Distrofias da córnea; hereditárias,Distrofias da córnea
Doença granulomatosa; crônica,Doença granulomatosa
Doença pulmonar; obstrutiva crônica,Doença pulmonar
Doenças de pele; genéticas,Doenças de pele
Doenças genéticas; ligadas ao X,Doenças genéticas
Doenças oculares; hereditário,Doenças oculares
Doenças pulmonares; obstrutivas,Doenças pulmonares
Epilepsia; lobo temporal,Epilepsia
Epilepsias; mioclônicas,Epilepsias
Espondilite; anquilosing,Espondilite
Exostoses; múltiplos hereditários,Exostoses
Fraturas; osso,Fraturas
Glaucoma; ângulo aberto,Glaucoma
Hérnia; diafragmática,Hérnia
Hérnia; inguinal,Hérnia
Hipertensão; induzida pela gravidez,Hipertensão
Hipertensão; portal,Hipertensão
Hipertensão; pulmonar,Hipertensão
Hipóxia-isquemia; cérebro,Hipóxia-isquemia
Insuficiência hepática; aguda,Insuficiência hepática
Keratoderm; Palmopolntar,Keratoderm
Leishmaniose; cutânea,Leishmaniose
Leucemia-linfoma; células T adultas,Leucemia-linfoma
Linfoma; folicular,Linfoma
Lúpus eritematoso; cutâneo,Lúpus eritematoso
Lúpus erytematoso; sistêmico,Lúpus erytematoso
Melanoma; experimental,Melanoma
Metabolismo de metal; erros inatos,Metabolismo de metal
Necrólise epidérmica; tóxica,Necrólise epidérmica
Neoplasia; residual,Neoplasia
Neoplasias colorretais; não polipose hereditária,Neoplasias colorretais
Neoplasias de mama; homem,Neoplasias de mama
Neoplasias do fígado; experimental,Neoplasias do fígado
Neoplasias mamárias; experimental,Neoplasias mamárias
Neoplasias; célula escamosa,Neoplasias
Neoplasias; induzidas por radiação,Neoplasias
Neoplasias; segundo primário,Neoplasias
Ossificação; heterotópica,Ossificação
Osteoporose; pós-menopausa,Osteoporose
Papilloma; plexo coróide,Papilloma
Puberdade; precoce,Puberdade
Rim policístico; autossômico dominante,Rim policístico
Sarcoma; Ewing's,Sarcoma
Scleroderma; localizado,Scleroderma
Síndrome de desconforto respiratório; adulto,Síndrome de desconforto respiratório
Telangiectasia; hemorrágica hereditária,Telangiectasia
Transtorno depressivo; Major,Transtorno depressivo
Trombocitemia; essencial,Trombocitemia
Tumores neuroectodérmicos; primitivos,Tumores neuroectodérmicos
Unhas; malformadas,Unhas
Vasoespasmo; intracraniano,Vasoespasmo
Anão; hipófise,Anão
Ânus; imperforado,Ânus
Deformidades das mãos; congênitas,Deformidades das mãos
Deformidades de membros; congênitas,Deformidades de membros
Doenças oculares; hereditário,Doenças oculares
Exostoses; múltiplos hereditários,Exostoses
Hérnia; umbilical,Hérnia
Keratoderm; Palmopolntar,Keratoderm
Nefrite; hereditária,Nefrite
Neoplasias; induzidas por radiação,Neoplasias
Unhas; malformadas,Unhas
Aborto; espontâneo,Aborto
Acidose; lática,Acidose
Acidose; tubular renal,Acidose
Adenocarcinoma; folicular,Adenocarcinoma
Adenoma; oxifílico,Adenoma
Anão; hipófise,Anão
