tipo relacao,valor da correlacao,MeSH Disease Terms Concatanados,MeSH Disease Term Concatenados
n para 1,"0,17629070499744300",Anemia; aplástica,Aberrações cromossômicas
n para 1,"0,10498730474000700",Anemia; deficiência de ferro,Aberrações cromossômicas
n para 1,"0,19685540803954300",Anemia; Sideroblástica,Aberrações cromossômicas
n para 1,"0,21665183471470300",Anormalidades; induzidas por drogas,Aberrações cromossômicas
n para 1,"0,9870454743714460",Anormalidades; múltiplas,Aberrações cromossômicas
n para 1,"0,23636167597789100",Carcinoma; célula basal,Aberrações cromossômicas
n para 1,"0,1688385042401770",Defeitos cardíacos; congênitos,Aberrações cromossômicas
n para 1,"0,2232552459061020",Distrofia muscular; Duchenne,Aberrações cromossômicas
n para 1,"0,8695588307944460",Doenças ósseas; Desenvolvimento,Aberrações cromossômicas
n para 1,"0,10122451936189400",Doenças ósseas; metabólicas,Aberrações cromossômicas
n para 1,"0,10291550000972400",Hérnia; diafragmática,Aberrações cromossômicas
n para 1,"0,11844135723655500",Leucemia; linfóide,Aberrações cromossômicas
n para 1,"0,12037502885244400",Leucoencefalite; hemorrágica aguda,Aberrações cromossômicas
n para 1,"0,12906192516397700",Neoplasias; segundo primário,Aberrações cromossômicas
n para 1,"0,6138717469039930",Paraplegia espástica; hereditária,Aberrações cromossômicas
n para 1,"0,21906972854729000",Síndromes neoplásicas; hereditárias,Aberrações cromossômicas
n para 1,"0,12530164645626700",Aborto; espontâneo,Acanthose Nigricans
n para 1,"0,1552650032671870",Aborto; habitual,Acanthose Nigricans
n para 1,"0,10043672456019400",Anemia; deficiência de ferro,Acanthose Nigricans
n para 1,"0,15359476315423600",Anormalidades; múltiplas,Acanthose Nigricans
n para 1,"0,16850925239658900",Artrite; psoriática,Acanthose Nigricans
n para 1,"0,17780368003007200",Carcinoma; célula basal,Acanthose Nigricans
n para 1,"0,2557829932275100",Carcinoma; célula renal,Acanthose Nigricans
n para 1,"0,21291212971369600",Carcinoma; hepatocelular,Acanthose Nigricans
n para 1,"0,1833534476212950",Deformidades das mãos; congênitas,Acanthose Nigricans
n para 1,"0,20486069798490400",Diabetes mellitus; experimental,Acanthose Nigricans
n para 1,"0,5074550718867680",Diabetes mellitus; tipo 2,Acanthose Nigricans
n para 1,"0,12428146123741900",Diabetes; gestacional,Acanthose Nigricans
n para 1,"0,16981011841068000",Disgenesse gonadal; 46; XY,Acanthose Nigricans
n para 1,"0,10888012739454500",Distrofia muscular; Duchenne,Acanthose Nigricans
n para 1,"0,21398989733591500",Doenças genéticas; inatos,Acanthose Nigricans
n para 1,"0,21590567378923600",Doenças ósseas; Desenvolvimento,Acanthose Nigricans
n para 1,"0,22503571164381000",Doenças ósseas; metabólicas,Acanthose Nigricans
n para 1,"0,11951656152759000",Exostoses; múltiplos hereditários,Acanthose Nigricans
n para 1,"0,10415023475941100",Fraturas; osso,Acanthose Nigricans
n para 1,"0,14847620960426500",Hérnia; inguinal,Acanthose Nigricans
n para 1,"0,15019689963371200",Hérnia; umbilical,Acanthose Nigricans
n para 1,"0,7163387047300230",Hiperlipidemia; Familial Combinada,Acanthose Nigricans
n para 1,"0,4576854129677820",Hiperplasia adrenal; congênita,Acanthose Nigricans
n para 1,"0,5347329516515270",Infertilidade; homem,Acanthose Nigricans
n para 1,"0,10177581147146100",Insuficiência hepática; aguda,Acanthose Nigricans
n para 1,"0,1268892980832830",Linfoma; folicular,Acanthose Nigricans
n para 1,"0,10837435864349300",Metabolismo de aminoácidos; erros inatos,Acanthose Nigricans
n para 1,"0,19081627449445800",Metabolismo lipídico; erros inatos,Acanthose Nigricans
n para 1,"0,18011151499972700",Metabolismo; erros inatos,Acanthose Nigricans
n para 1,"0,24760707268029100",Neoplasias de mama; homem,Acanthose Nigricans
n para 1,"0,4048099077668720",Neoplasias; induzidas por radiação,Acanthose Nigricans
n para 1,"0,3726867156681480",Neoplasias; segundo primário,Acanthose Nigricans
n para 1,"0,23573287325872900",Osteoartrite; joelho,Acanthose Nigricans
n para 1,"0,11135939710332500",Osteoporose; pós-menopausa,Acanthose Nigricans
n para 1,"0,726503818578307",Puberdade; precoce,Acanthose Nigricans
