tipo relacao,valor da correlacao,MeSH Disease Terms Concatanados,MeSH Disease Term Concatenados
n para m,"0,17029049299123300",Aborto; espontâneo,Acidose; lática
n para m,"0,4057685040500000",Aborto; espontâneo,Anão; hipófise
n para m,"0,19099389423177100",Aborto; espontâneo,Anemia; célula falciforme
n para m,"0,5344818917809650",Aborto; espontâneo,Anemia; deficiência de ferro
n para m,"0,20786237334917300",Aborto; espontâneo,Anemia; diamante-Blackfan
n para m,"0,156086328270412",Aborto; espontâneo,Anemia; macrocítica
n para m,"0,6547890617841790",Aborto; espontâneo,Anormalidades; induzidas por drogas
n para m,"0,1019780490649250",Aborto; espontâneo,Cirrose do fígado; experimental
n para m,"0,28948794339036400",Aborto; espontâneo,Deformidades de membros; congênitas
n para m,"0,13574070305398300",Aborto; espontâneo,Deformidades de pé; congênitas
n para m,"0,39041798716757700",Aborto; espontâneo,Diabetes; gestacional
n para m,"0,24465629247881400",Aborto; espontâneo,Disfunções sexuais; psicológico
n para m,"0,16274399474108300",Aborto; espontâneo,Doença granulomatosa; crônica
n para m,"0,10322498148914200",Aborto; espontâneo,Exostoses; múltiplos hereditários
n para m,"0,13724233907215700",Aborto; espontâneo,Fraturas; osso
n para m,"0,37870629812425500",Aborto; espontâneo,Hérnia; diafragmática
n para m,"0,7586245101295150",Aborto; espontâneo,Hérnia; umbilical
n para m,"0,16328574860643600",Aborto; espontâneo,Hiperlipidemia; Familial Combinada
n para m,"0,5016363813892030",Aborto; espontâneo,Hipertensão; induzida pela gravidez
n para m,"0,15402091665551700",Aborto; espontâneo,Metabolismo de aminoácidos; erros inatos
n para m,"0,14204846822179300",Aborto; espontâneo,Metabolismo de carboidratos; erros inatos
n para m,"0,12240269436667700",Aborto; espontâneo,Metabolismo lipídico; erros inatos
n para m,"0,3588030946337170",Aborto; espontâneo,Puberdade; precoce
n para m,"0,1620766733937770",Aborto; espontâneo,Tumores neuroectodérmicos; primitivos
n para m,"0,10094646330495700",Aborto; espontâneo,Unhas; malformadas
n para m,"0,34786176257027400",Aborto; habitual,Anão; hipófise
n para m,"0,10228021376075700",Aborto; habitual,Anemia; célula falciforme
n para m,"0,4658370447580220",Aborto; habitual,Anemia; deficiência de ferro
n para m,"0,5469669177839070",Aborto; habitual,Anormalidades; induzidas por drogas
n para m,"0,2676077828290020",Aborto; habitual,Anormalidades; múltiplas
n para m,"0,11195559827952200",Aborto; habitual,Carcinoma; célula renal
n para m,"0,3598077457109210",Aborto; habitual,Colite; ulcerosa
n para m,"0,1882899369320660",Aborto; habitual,Deformidades de membros; congênitas
n para m,"0,10850432020134100",Aborto; habitual,Diabetes mellitus; tipo 2
n para m,"0,15037284643061900",Aborto; habitual,Doenças genéticas; ligadas ao X
n para m,"0,21054063240212800",Aborto; habitual,Exostoses; múltiplos hereditários
n para m,"0,19485244513312600",Aborto; habitual,Hepatite C; crônica
n para m,"0,29101551391162600",Aborto; habitual,Hérnia; diafragmática
n para m,"0,6778614116859460",Aborto; habitual,Hérnia; umbilical
n para m,"0,13686151893996000",Aborto; habitual,Hipóxia-isquemia; cérebro
n para m,"0,1354417285668320",Aborto; habitual,Leucemia; mielóide
n para m,"0,16039868075232200",Aborto; habitual,Linfoma; não-Hodgkin
n para m,"0,15091784951661400",Aborto; habitual,Lúpus erytematoso; sistêmico
n para m,"0,14422030469278300",Aborto; habitual,Metabolismo de metal; erros inatos
n para m,"0,10141178531008000",Aborto; habitual,Neoplasias de mama; homem
n para m,"0,25540918586954400",Aborto; habitual,Neoplasias genitais; feminino
n para m,"0,13073797589193700",Aborto; habitual,Neoplasias; células germinativas e embrionário
n para m,"0,40224912473663100",Aborto; habitual,Puberdade; precoce
n para m,"0,10702430926451500",Aborto; habitual,Recorrência da neoplasia; local
n para m,"0,11059857585439900",Acidose; lática,Anão; hipófise
n para m,"0,13205294719883900",Acidose; lática,Atrofia muscular; espinhal
n para m,"0,17782866341268600",Acidose; lática,Cirrose do fígado; experimental
n para m,"0,10114258978027900",Acidose; lática,Deformidades das mãos; congênitas
n para m,"0,2536343337333980",Acidose; lática,Deformidades de membros; congênitas
n para m,"0,10877072204737000",Acidose; lática,Deformidades de pé; congênitas
n para m,"0,16189639076958000",Acidose; lática,Distrofia muscular; faciososcapulo-humana
n para m,"0,1303762771716190",Acidose; lática,Hérnia; umbilical
n para m,"0,3154145487611920",Acidose; lática,Metabolismo do piruvato; erros inatos
n para m,"0,17939804120358900",Acidose; lática,Miopatias; Nemalina
n para m,"0,10699163171729400",Acidose; lática,Miosite; corpo de inclusão
n para m,"0,19684333147488100",Acidose; lática,Neoplasias; induzidas por radiação
n para m,"0,2554304955168020",Acidose; lática,Retardo mental; ligado ao X
n para m,"0,19947347619183800",Acidose; lática,Scleroderma; localizado
n para m,"0,2036292700524510",Acidose; lática,Tumores neuroectodérmicos; primitivos
n para m,"0,12701483932968200",Acidose; tubular renal,Acidose; lática
n para m,"0,1314689489125650",Acidose; tubular renal,Adenocarcinoma; folicular
n para m,"0,18657817558074400",Acidose; tubular renal,Anão; hipófise
n para m,"0,14896694563138600",Acidose; tubular renal,Anemia; célula falciforme
n para m,"0,15848982583603800",Acidose; tubular renal,Ânus; imperforado
n para m,"0,12674413046538800",Acidose; tubular renal,Atrofia muscular; espinhal
n para m,"0,41897715324387800",Acidose; tubular renal,Deformidades das mãos; congênitas
n para m,"0,2623990377056900",Acidose; tubular renal,Deformidades de membros; congênitas
n para m,"0,4494783098799710",Acidose; tubular renal,Deformidades de pé; congênitas
n para m,"0,22059795870746100",Acidose; tubular renal,Desmineralização óssea; patológica
n para m,"0,22662791476389600",Acidose; tubular renal,Distrofia muscular; faciososcapulo-humana
n para m,"0,2209774431773760",Acidose; tubular renal,Distrofias da córnea; hereditárias
n para m,"0,12101120596258600",Acidose; tubular renal,Distrofias musculares; gira de membro
n para m,"0,5750918549946870",Acidose; tubular renal,Doenças genéticas; ligadas ao X
n para m,"0,261000384371817",Acidose; tubular renal,Doenças oculares; hereditário
n para m,"0,30461098321566000",Acidose; tubular renal,Exostoses; múltiplos hereditários
n para m,"0,32485021657148100",Acidose; tubular renal,Fibromatose; gengival
n para m,"0,2093983205899170",Acidose; tubular renal,Fraturas; osso
n para m,"0,11299495766056100",Acidose; tubular renal,Hérnia; umbilical
n para m,"0,16563845014298500",Acidose; tubular renal,Hipertensão; induzida pela gravidez
n para m,"0,474285912300379",Acidose; tubular renal,Keratoderm; Palmopolntar
n para m,"0,2852400898379410",Acidose; tubular renal,Metabolismo de aminoácidos; erros inatos
n para m,"0,1717185300744700",Acidose; tubular renal,Metabolismo de purina-pirimidina; erros inatos
n para m,"0,3195849504739190",Acidose; tubular renal,Metabolismo lipídico; erros inatos
n para m,"0,11985476142555000",Acidose; tubular renal,Miopatias; Nemalina
n para m,"0,13172982383545700",Acidose; tubular renal,Miosite; corpo de inclusão
n para m,"0,5084960271241930",Acidose; tubular renal,Nefrite; hereditária
n para m,"0,11075083978313400",Acidose; tubular renal,Neoplasias; induzidas por radiação
n para m,"0,1543011542086580",Acidose; tubular renal,Paniculite; não substituta nodular
n para m,"0,14517457737069600",Acidose; tubular renal,Puberdade; precoce
n para m,"0,23506131533459100",Acidose; tubular renal,Raquitismo hipofosfatêmico; dominante ligado ao X
n para m,"0,16825717634480500",Acidose; tubular renal,Retardo mental; ligado ao X
n para m,"0,12737256577443900",Adenocarcinoma; folicular,Atrofia muscular; espinhal
n para m,"0,288439223255524",Adenocarcinoma; folicular,Carcinoma; adenóide cístico
