disease_Dui,Doencas Termos Unificados
1,Um
2,Quarenta e Seis
3,22q11 Síndrome da deleção
4,à direita
5,A síndrome de Guillain-Barré
6,abdominal
7,Abducens Lesão nervosa
8,Aberração da frente de onda da córnea
9,Aberrações cromossômicas
10,Aberrações do cromossomo sexual
11,abertas
12,Abetalipoproteinemia
14,Abrasão dentária
16,Abscesso abdominal
17,Abscesso cerebral
18,Abscesso de fígado
19,Abscesso de psoas
20,Abscesso periapical
21,Abscesso peridural
22,Abscesso periodontal
23,Abscesso peritonsilar
24,Abscesso pulmonar
25,Abscesso retrofaríngeo
26,Abscesso subfarênico
27,Abuso de Fencyclidina
28,Abuso de maconha
29,Abuso de substâncias
30,Acanthamoeba queratite
31,Acanthose Nigricans
32,Acantólise
33,Acatalasia
34,Achalasia esofágica
35,Achloridria
36,Acidemia propiônica
37,acidófilo
38,Acidose
39,ACNE KELOID
40,Acne vulgaris
41,Acorde
42,Acro-osteólise
43,Acrocefalossíndactilia
44,Acrodermatite
45,Acrodynia
46,Acromegalia
47,Acrospiroma
48,actínica
50,acústico
51,Adamantinoma
52,Addisionia
53,Adenocarcinoma
54,Adenofibroma
55,adenóide cístico
56,Adenolinfoma
57,Adenoma
58,Adenoma adrenocortical
59,Adenoma da hipófise secretor de ACTH
60,Adenoma de hipófise secretor de hormônio do crescimento
61,Adenomatose pulmonar
62,Adenomioma
63,Adenosarcoma
64,adenosquamos
65,Adesões de tecido
66,Adipsis dolorosos
69,Adrenoleukodystrophy
71,Adultos Scleredema
72,Afasia
73,Afasia não fluente progressiva primária
74,Afibrinogenemia
76,Afonia
78,afútil
79,Agammaglobulinemia
80,Ageusia
81,Agitação psicomotora
82,Agnosia
83,Agorafobia
84,Agranulococitisis
85,Agraphia
86,agressiva
90,AIDS ARTERITE
91,Ainhum
92,Akithia
93,Albinismo
94,Albuminúria
95,Alcalose
96,alcoólatra
97,alcoólatras
100,alérgica extrínseca
101,Alexia
102,Alfa-mannosidose
103,Alfa-talassemia
104,Alimentação e distúrbios alimentares da infância
105,Alkaptonuria
106,aloimune neonatal
107,Alon Eranesia
108,Alopecia
109,alta frequência
110,alto
111,Alucinações
112,Alveolar
113,Alveolite
114,Amaurose congênita de Leber
115,Amaurose Shy
117,ameaçado
119,amebic
120,amelanótico
121,Ameloblastoma
122,Amelogênese imperfeita
124,americana
125,Amidalite
126,amilóide
128,Aminoacidúrias renais
129,Amnésia
130,amnésico
132,Anafilaxia
133,Anão
134,Anaplasia
135,anaplásicas
136,Anaplasmose
137,Anch ânus
140,Anemia de Fanconi
141,Anemia infecciosa eqüina
143,Anendroplasia
145,Aneurisma aórtico
146,Aneurisma coronariano
147,Aneurisma do coração
148,Aneurisma ilíaco
149,Aneurisma intracraniano
150,aneurismáticos
151,Aneurysma
152,anexos anexos e de pele
154,Angina de Ludwig
155,Angina microvascular
156,Angiodysplasia
157,Angioedema
158,Angioedema hereditário tipo III
159,Angioedemas
160,Angiofibroma
161,Angiolipoma
162,Angioma venoso do sistema nervoso central
163,Angiomatose
164,Angiomioma
165,Angiomyolipoma
166,Angiopatia amilóide cerebral
167,Angiopatias diabéticas
168,Angle Classe II
169,Angle Classe III
170,ângulo aberto
171,Anhidrótica
172,Anidrótica
174,Anisaquíase
175,Aniseikonia
176,Anisocoria
177,Anisometria
178,Anomalia de Ebstein
179,Anomalias congénitas
180,Anomalias de vasos coronarianos
181,Anomia
182,Anophthalmos
183,anormal
184,Anormalidade de torção
186,Anormalidades cardiovasculares
187,Anormalidades craniofaciais
188,Anormalidades da boca
189,Anormalidades da mandíbula
190,Anormalidades da pele
191,Anormalidades dentárias
192,Anormalidades do sistema digestivo
193,Anormalidades do sistema respiratório
194,Anormalidades linfáticas
195,Anormalidades maxilofaciais
196,Anormalidades musculoesqueléticas
197,Anormalidades oculares
198,Anormalidades urogenitais
199,Anovulazação
200,Anquilose
201,Anquilose dentária
202,anquilosing
203,Ansiedade
204,Antecipação
206,anterógrada
207,Antracose
208,Antracossilicose
212,Aortite
213,aparente
214,apêndice de pele
216,Aphakia
218,aplástica
219,Apnéia
220,Apneia do sono
221,apolipoproteína B
222,Apoplexia hipófise
223,Apraxia
224,Apraxias
225,Apreensões
226,Apreensões de retirada de álcool
227,Aprendizado
228,Aprendizagem gonadal
229,Apresentação da culatra
230,Aprisionamento do tendão
231,Apudoma
233,Aracnidismo
234,Aracnodactilia
235,Aracnoidite
236,arbovírus
237,Arco idoso
238,Área de Alopecia
239,Argyria
240,Arritmia
241,Arritmias
242,Artéria carótida
243,artéria cerebral anterior
244,artéria cerebral média
245,artéria cerebral posterior
246,Artéria umbilical única
247,Arteriolosclerose
248,Arteriosclerose
249,Arteriosclerose intracraniana
250,Arteriosclerose obliteranos
251,Arterite
252,Arterite de células gigantes
253,Arthralgia
255,Artrogripose
256,Artropatia
257,Asbestose
259,Ascites
260,Ascites quilosas
262,Asfixia neonatorum
264,Asparíase
265,Asparilglucosaminúria
267,Aspergilose pulmonar
268,Aspergilose pulmonar invasiva
269,aspiração
270,Aspiração respiratória
271,Assaduras
272,asséptica
273,Assimetria facial
274,associada ao ventilador
275,Astenia neurocirculatória
276,Astenopia
277,Astigmatismo
278,Astrocitoma
279,Ataque isquêmico
281,Ataxia cerebelar
282,Ataxia da marcha
283,Ataxia de Friedreich
284,Ataxia Telangiectasia
285,Ataxias spinocerebelares
286,Atelectasia pulmonar
288,aterosclerótica
289,Atetose
290,atípica
291,atípico
293,atrasada
294,Atresia biliar
295,Atresia esofágica
296,Atresia intestinal
297,Atresia pulmonar
298,Atresia tricúspide
299,atrial
300,atrial ectópico
301,Atrito de dente
303,Atrofia bulbo-espinhal
304,Atrofia do girato
305,Atrofia do sistema múltiplo
306,Atrofia geográfica
307,Atrofia muscular
308,Atrofia óptica
309,Atrofias musculares espinhais da infância
310,Atrofias olivopontocerebelares
311,ATROFIAS ópticas
312,atrófica
313,atróficos
315,Auto-mutilação
316,autoimune
317,autoimunes
318,Autólise
319,autossômico dominante
321,Avia
322,Aviagem
323,aviário
324,Avitaminose
325,Avulsão dentária
326,Azoospermia
327,Azotemia
328,azul
329,Babesiose
330,Babinski
331,bacilar
332,Baço errante
333,Bacteremia
335,bacteriana subaguda
337,Bacteriúria
338,Baía de Pilonidal
340,baixo
341,Balançar para trás
342,Balantidíase
343,Barotrauma
344,basilar
345,basosquamos
346,Baú da angina
347,Baú de agitação
348,Baú de funil
349,Bay Pericranii
350,BCR-ABL POSIFICADO
351,BCR-ABL POSITIVA
352,Bebê
353,Befars
354,Benefício da síndrome
355,Benigno Familiar
356,benigno migratório
357,Beriliose
358,Beriveri
359,beta-mannosidose
360,beta-talassemia
361,Bexiga urinária
362,bifenotípica
363,bilateral
364,biliar
365,Blasto-lasco
366,Blastoma pulmonar
367,Blefarite
368,Blefarofimose
369,Blefaroptose
370,Blefarospasmo
371,Bloco atrioventricular
372,Bloco de pacote
373,Bloco Sinoatrial
374,Bloqueio cardíaco
376,Bócio
377,Bolas de refluxo
378,Bolha
379,bolhoso
380,Bolso gengival
381,Bolso periodontal
382,Botulismo
383,bovino
384,Bradicardia
385,Branchioma
386,Bridging do miocárdio
387,Broca
388,broncogênico
389,Broncomalácia
390,Broncopneumonia
391,broncopulmonar alérgico
392,Bronquiectasia
394,Bronquiolite obliteranos
395,bronquiolo-alveolar
398,Bruxismo
399,Bruxismo do sono
400,bulbar
401,Bulimia nervosa
402,Bursite
403,Byssinose
404,Caddasil
405,Cafe-au-à Spots
406,Cãibra muscular
408,Calcificação da polpa dentária
409,Calcinose
410,Calciphilaxia
411,Cálculo
412,Cálculo da bexiga urinária
413,Cálculo da glândula salivar
414,Cálculo dental
415,Cálculo do duto salivar
416,Cálculo dos rins
417,Cálculo renal
418,Cálculo ureteral
419,Cálculo urinário
420,Cálculos biliares
421,Califórnia
425,canino infeccioso
426,capilar
429,Carcinoma 256
430,Carcinoma adrenocortical
431,Carcinoma de pulmão de pequenas células
432,Carcinoma no local
433,Carcinomatose meningeal
434,Carcinossarcoma
436,cardíaco
437,cardiogênico
439,Cardiomiopatia de Chagas
441,Cardiomiopatias diabéticas
442,Cardiotegalia
444,Cárie da raiz
445,Cáries dentárias
446,cartilagem
447,Catalepsia
448,Cataplexy
451,Catarro maligno
452,Catatonia
453,catatônica
454,Causalgia
455,cavernoso
457,CD4-positivo idiopático
458,Cefalálgias autonômicas trigêmeas
460,Cegueira noturna
461,célula acinar
462,célula basal
463,célula clara
464,célula de ilhota
465,célula de Langerhans
466,célula de transição
467,célula escamosa
468,célula falciforme
469,célula gigante
470,célula globóide
471,célula grande
472,célula grande cutânea primária cutânea
473,célula hepática
474,célula Merkel
475,célula não-libertadora
476,célula peluda
477,célula plasmática
478,célula renal
481,células B
482,células B grandes
483,células B.
484,células do manto
485,células germinativas e embrionário
486,células grandes
487,Células neoplásicas
488,Células PC12
489,células T adultas
490,células T.
492,Celulite orbital
493,Cementoma
494,Central
496,Ceratoconus
499,cerebrotendinous
500,Cervicite uterina
501,cervicofacial
502,Cetoacidose diabética
503,Cetose
504,Channelopatias
505,Chatcroid
506,Chediak-Higashi Syndrome
507,Cheilite
508,CHOLESTEATOMA
509,Chondrodyryspladi apontou
510,Chondrodyspladi apontou
511,Choppedocolíase
512,CHOPS
514,Ciática
515,Cicatriz
516,Ciclosporíase
518,circulando
519,Cirrose do fígado
520,Cirrose hepática
522,Cistadenocarcinoma
523,Cistadenoma
524,Cistica
525,císticas
526,cístico
527,Cistinose
528,Cistinúria
530,Cisto broncogênico
531,Cisto coledochal
532,Cisto de esôfago
533,Cisto de Urachal
534,Cisto dentígero
535,Cisto dermoide
536,Cisto epidérmico
537,Cisto folicular
538,Cisto mediastinal
539,Cisto mesentérico
540,Cisto pancreático
541,Cisto parovariano
542,Cisto periodontal
543,Cisto poplítea
544,Cisto radicular
546,Cisto tireoglossal
547,Cistocele
549,Cistos aracnóides
550,Cistos colóides
551,Cistos da mandíbula
552,Cistos do sistema nervoso central
553,Cistos Ganglionares
554,Cistos odontogênicos
555,Cistos ósseos
556,Cistos ovarianos
557,Cistos Tarlov
558,Citrullinemia
559,Classe Angle I
560,Claudicação intermitente
561,Clonorquíase
562,CNS
563,Coagulação intravascular disseminada
564,Coarctação aórtica
566,Coccidiose
567,colágeno
568,Colangiocarcinoma
569,Colangite
571,Colecistite acalculosa
572,Colecistite enfisemática
573,Colecistolitíase
576,Colestase
578,colesterol
580,Colombma
582,colônico
583,Colorado Tick Fever
585,com excesso de explosões
587,Coma de insulina
588,Coma diabético
589,Coma não-cetotic hiperglicêmico hiperosmolar
590,CompetitionaCinoma
591,complexas e mistas
592,Complexo de demência da AIDS
593,Complexo de Doenças Respiratórias Bovinas
594,Complexo de Ironmenger
595,Complexo relacionado à AIDS
596,Complexos cardíacos
597,Complexos prematuros atriais
598,Complexos prematuros ventriculares
599,Complicações da gravidez
601,Complicações do diabetes
602,Complicações intraoperatórias
603,Complicações obtétricas do trabalho
604,Complicações pós-operatórias
605,Comportamento de Firesetting
606,compressão
607,Compressão da medula espinhal
608,Concussão cerebral
609,Condições pré-cancerosas
610,Condroblastoma
611,Condrocalcinose
612,CONDROMA
613,Condromalacia patellae
614,Condromatose
615,Condrossarcoma
617,condutor
618,Condylomata acuminata
619,Confusão
621,congênita generalizada
622,congênita não-esferocítica
624,congênito
625,congênitos
627,conjuntos
628,conngitital
629,Constrição
630,constritiva
631,contagiosa
632,contagioso
634,contato alérgico
635,Contratura
636,Contratura do quadril
637,Contratura dupuytren
638,Contusões
641,Coprofagia
642,Coproporphyria
644,Cordão nuchal
646,Corioamnionite
647,CORIOCARCINOMA
648,Coriomeningite linfocítica
649,Coriorretinite
650,Coriorretinopatia serosa central
651,Coristoma
652,Coroideremia
653,Coroidite
654,corpo de inclusão
655,corpo estrangeiro
656,Corpos estrangeiros
657,Corpos estranhos oculares
658,Corpos soltos articulares
659,cortical
660,Cotovelo de tenista
661,craniano
662,Craniofaringioma
663,Craniossintosesoses
664,Crescimento gengival excessivo
665,Crianças
666,Crimeia
667,Crioglobulinemia
668,criptocócica
670,Criptorquidismo
671,Criptosporidiose
672,Crise da tireóide
673,Crise de explosão
674,Cromoblastomicose
675,cromofobe
678,Curvaturas da coluna vertebral
679,cutânea
680,cutâneo
681,Cystic
682,Da doença de Hippel-Lindau
683,Dacryocistite
684,Dados
685,Dançar grávida
686,Dano cerebral
687,De doença de QuervAin
688,de gado
689,de ovelha
690,de perus
691,de suínos
692,Débito cardíaco
693,Decalcificação
694,Decapitação
695,Defeito do septo aortopulmonar
696,defeito em cromossomo
697,Defeitos cardíacos
698,Defeitos de almofada endocárdica
699,Defeitos de furca
700,Defeitos de visão de cores
701,Defeitos do septo cardíaco
702,Defeitos do tubo neural
704,Deficiência de ácido fólico
705,Deficiência de alfa 1-antitripsina
706,Deficiência de Antitrombin III
