Doenca,Classe
Aumento Glicemia,Aumento da glicemia
Dengue,Dengue [dengue clássico]
Exposição,Exposição à vibração
Exposição Ruído,Exposição ao ruído
Falta Água,Falta de água
Falta Alimento,Falta de alimento
Intolerância Lactose,Intolerância à lactose
Síndrome Edwards,Síndrome de Edwards e síndrome de Patau
Exposição,Exposição a um jato de alta pressão
Efeito Tóxico,Efeito tóxico do monóxido de carbono
Morte Fetal,Morte fetal de causa não especificada
Queda,Queda em ou de um andaime
Resultados Anormais,Resultados anormais de estudos de função
Achados Anormais,Achados anormais no líquido cefalorraquidiano
Acidente de Transporte,Acidente de transporte não especificado
Anomalias Dentofaciais,Anomalias dentofaciais (inclusive a maloclusão)
Artrose,Artrose da primeira articulação carpometacarpiana
Calculose,Calculose do trato urinário inferior
Corpo Estranho,Corpo estranho no aparelho digestivo
Corpo Estranho,Corpo estranho no trato geniturinário
Corpo Estranho,Corpo estranho no trato respiratório
Displasia,Displasia do colo do útero
Efeito Tóxico,Efeito tóxico de solventes orgânicos
Falha de Tentativa,Falha de tentativa de aborto
Fenda Labial,Fenda labial com fenda palatina
Hipoplasia Renal,Hipoplasia renal de causa desconhecida
História Familiar,História familiar de outras afecções
História Pessoal,História pessoal de tratamento médico
Malformações Congênitas,Malformações congênitas das grandes artérias
Malformações Congênitas,Malformações congênitas das grandes veias
Malformações Congênitas,Malformações congênitas dos septos cardíacos
Outras Anormalidades,Outras anormalidades das proteínas plasmáticas
Outras Doenças,Outras doenças da medula espinal
Outras Doenças,Outras doenças da vesícula biliar
Outras Doenças,Outras doenças das vias biliares
Outras Doenças,Outras doenças do aparelho digestivo
Outras Formas,Outras formas de espessamento epidérmico
Outros Sintomas,Outros sintomas e sinais gerais
Perfuração,Perfuração da membrana do tímpano
Pneumoconiose,Pneumoconiose dos mineiros de carvão
Queima,Queima de fogos de artifício
Queimadura,Queimadura e corrosão do tronco
Transtorno Específico,Transtorno específico do desenvolvimento motor
Transtornos,Transtornos da continuidade do osso
Transtornos,Transtornos do sistema nervoso autônomo
Anencefalia,Anencefalia e malformações similares
Anormalidades,Anormalidades da contração uterina
Anormalidades,Anormalidades do batimento cardíaco
Apendicite,"Apendicite, sem outras especificações"
Atenção a,Atenção a orifícios artificiais
Ausência Adquirida,Ausência adquirida de membros
Bronquite Crônica,Bronquite crônica não especificada
Cegueira,Cegueira e visão subnormal
Colesteatoma,Colesteatoma do ouvido médio
Complicações Venosas,Complicações venosas na gravidez
Complicações Venosas,Complicações venosas no puerpério
Contato,Contato com agulha hipodérmica
Contato,Contato com animais marinhos
Contato,Contato com aranhas venenosas
Contato,Contato com maquinaria agrícola
Contato,Contato com vidro cortante
Corpo Estranho,Corpo estranho no ouvido
Deficiência,Deficiência de vitamina A
Deficiência,Deficiência de vitamina D
Distúrbios,Distúrbios da sensibilidade cutânea
Doença Diverticular,Doença diverticular do intestino
Doença Parasitária,Doença parasitária não especificada
Doenças Císticas,Doenças císticas do rim
Doenças,Doenças das glândulas salivares
Doenças,Doenças de múltiplas valvas
Doenças Inflamatórias,Doenças inflamatórias da próstata
Dor Abdominal,Dor abdominal e pélvica
Dor,Dor associada à micção
Efeito Tóxico,Efeito tóxico de corrosivos
Efeito Tóxico,Efeito tóxico de metais
Efeito Tóxico,Efeito tóxico de pesticidas
Efeito Tóxico,Efeito tóxico do álcool
Efeitos,Efeitos de outras privações
Estado de Mal,Estado de mal asmático
Estado de Mal,Estado de mal epiléptico
Estomatite,Estomatite e lesões correlatas
Explosão,Explosão de outros materiais
Exposição,Exposição à luz solar
Exposição,Exposição a radiação ionizante
Falso,Falso trabalho de parto
Febre Hemorrágica,Febre hemorrágica por arenavírus
Flatulência,Flatulência e afecções correlatas
Flutter,Flutter e fibrilação atrial
Gravidez,Gravidez como achado casual
Hemorragia,Hemorragia das vias respiratórias
Hemorragia Umbilical,Hemorragia umbilical do recém-nascido
Hérnia Abdominal,Hérnia abdominal não especificada
Hipertensão Materna,Hipertensão materna não especificada
Inalação,Inalação do conteúdo gástrico
Incontinência Urinária,Incontinência urinária não especificada
Infarto do Miocárdio,Infarto agudo do miocárdio
Infarto do Miocárdio,Infarto do miocárdio recorrente
Insuficiência Renal,Insuficiência renal não especificada
Malária,Malária por Plasmodium falciparum
Malária,Malária por Plasmodium malariae
Malária,Malária por Plasmodium vivax
Malformação Congênita,Malformação congênita do nariz
Malformações Congênitas,Malformações congênitas da laringe
Malformações Congênitas,Malformações congênitas da mama
Malformações Congênitas,Malformações congênitas do cristalino
Malformações Congênitas,Malformações congênitas do esôfago
Malformações Congênitas,Malformações congênitas do pulmão
Malformações Congênitas,Malformações congênitas do quadril
Mastoidite,Mastoidite e afecções correlatas
Mononeuropatias,Mononeuropatias dos membros inferiores
Mononeuropatias,Mononeuropatias dos membros superiores
Nódulo Mamário,Nódulo mamário não especificado
Oclusões Vasculares,Oclusões vasculares da retina
Osteocondrose,Osteocondrose da coluna vertebral
Otalgia,Otalgia e secreção auditiva
Outras Afecções,Outras afecções da próstata
Outras,Outras perdas de audição
Outro,Outros transtornos das cartilagens
Outro,Outros transtornos das veias
Outro,Outros transtornos do pênis
Outro,Outros transtornos do peritônio
Outro,Outros traumatismos de parto
