Grupo,Sintomas (termos)
Abdômen e Digestivo,Dificuldade em engolir
Abdômen e Digestivo,Perda de apetite
Abdômen e Digestivo,Constipação intestinal em adultos
Abdômen e Digestivo,Diarreia  em adultos
Abdômen e Digestivo,indigestão (Dispepsia)
Abdômen e Digestivo,Incontinência fecal
Abdômen e Digestivo,"Disfagia, dificuldade em engolir, dificuldade para deglutir"
Abdômen e Digestivo,A constipação nas crianças
Abdômen e Digestivo,A diarreia nas crianças
Abdômen e Digestivo,Barriga inchada
Abdômen e Digestivo,bradicardia
Abdômen e Digestivo,claudicação
Abdômen e Digestivo,Coceira anal (Pruritus Ani)
Abdômen e Digestivo,Cólicas
Abdômen e Digestivo,Dor de barriga
Abdômen e Digestivo,Dor de estômago
Abdômen e Digestivo,dor do peito
Abdômen e Digestivo,Eliminar gases (flatulência)
Abdômen e Digestivo,Eructação
Abdômen e Digestivo,Gases
Abdômen e Digestivo,Hemorragia do trato digestivo
Abdômen e Digestivo,Indigestão (Termo impreciso do paciente)
Abdômen e Digestivo,infecções com muita frequência
Abdômen e Digestivo,macrocitose
Abdômen e Digestivo,Náusea e vômito em adultos
Abdômen e Digestivo,Náusea e vômito em bebês e crianças
Abdômen e Digestivo,Náuseas e vômitos no início da gestação
Abdômen e Digestivo,Náuseas e vômitos no início da gravidez
Abdômen e Digestivo,níveis baixos de concentração
Abdômen e Digestivo,Nó na garganta
Abdômen e Digestivo,"Nó na garganta, sensação de obstrução"
Abdômen e Digestivo,pirose
Abdômen e Digestivo,prisão de ventre
Abdômen e Digestivo,problemas continuos na pele
Abdômen e Digestivo,problemas para dormir
Abdômen e Digestivo,Regurgitação
Abdômen e Digestivo,Ruminação
Abdômen e Digestivo,"sangue nas fezes: melena, hematoquezia"
Abdômen e Digestivo,Sensação constante de cansaço
Abdômen e Digestivo,sensação de ansiedade
Abdômen e Digestivo,sensação de nó na garganta (globus faríngeo)
Abdômen e Digestivo,taquicardia
Abdômen e Digestivo,vômitos
Abdômen e Digestivo,Soluço
Abdômen e Digestivo,Dispepsia
Abdômen e Digestivo,Dor abdominal crônica
Abdômen e Digestivo,Diarreia  em adultos
Abdômen e Digestivo,Náusea
Abdômen e Digestivo,Anorexia
Abdômen e Digestivo,Flatulência
Abdômen e Digestivo,Inchaço (edema)
Abdômen e Digestivo,indigestão (Dispepsia)
Articulações e músculos,Dor articular: Muitas articulações (dor poliarticular)
Articulações e músculos,Dor articular: Uma única articulação (dor monoarticular)
Articulações e músculos,Dor na região lombar
Articulações e músculos,Dor lombar
Cérebro e sistema nervoso,palpitações
Cérebro e sistema nervoso,Desmaio  (síncope)
Cérebro e sistema nervoso,Insônia e sonolência excessiva durante o dia
Cérebro e sistema nervoso,Perda de memória (amnésia)
Cérebro e sistema nervoso,Tontura e vertigem
Cérebro e sistema nervoso,Tontura ou sensação de desmaio iminente ao se levantar (hipotensão ortostática)
Cérebro e sistema nervoso,Perda da libido (Homens)
Cérebro e sistema nervoso,Dormência da pele
Cérebro e sistema nervoso,Anomalias na locomoção
Cérebro e sistema nervoso,"Inflexibilidade, rigidez e espasticidade (espasmos musculares resultantes de rigidez muscular)"
Cérebro e sistema nervoso,Movimentos incontroláveis das pernas durante o sono
Cérebro e sistema nervoso,Lentidão dos movimentos
Cérebro e sistema nervoso,Má coordenação motora
Cérebro e sistema nervoso,Movimentos involuntários (não intencionais) (como tiques)
Cérebro e sistema nervoso,"Perda de sensibilidade ao tato, ao frio, ao calor ou à dor"
Cérebro e sistema nervoso,Perda do sentido de posição (saber onde as partes do corpo estão no espaço)
Cérebro e sistema nervoso,Sensação de formigamento ou picadas
Cérebro e sistema nervoso,Memória fraca
Cérebro e sistema nervoso,Negligência de um lado do corpo ou negação de sua existência (muitas vezes por conta de uma lesão cerebral)
Cérebro e sistema nervoso,Perda da visão parcial ou completa
Cérebro e sistema nervoso,Perturbações do olfato e paladar
Cérebro e sistema nervoso,Dor ao longo de uma via nervosa (como na ciática ou herpes zóster)
Cérebro e sistema nervoso,Adormecer sem controle (como na narcolepsia) ou dormir demais
Cérebro e sistema nervoso,Dificuldade para dormir ou permanecer dormindo
Cérebro e sistema nervoso,Confusão ou delirium
Cérebro e sistema nervoso,Convulsões (variando entre lapsos breves de consciência a contrações musculares extremas e que agitam todo o corpo)
Cérebro e sistema nervoso,Aumento da sensibilidade (hipersensibilidade) a um leve toque
Cérebro e sistema nervoso,Demência (comprometimento de diversas funções cognitivas)
Cérebro e sistema nervoso,"Dificuldade com habilidades motoras comuns, como riscar um fósforo ou pentear o cabelo, apesar da força normal (apraxia)"
Cérebro e sistema nervoso,Dificuldade em compreender a linguagem ou usar a língua para falar ou escrever (afasia)
Cérebro e sistema nervoso,"Dificuldade para compreender as relações espaciais (por exemplo, incapaz de desenhar um relógio, ou perder-se enquanto dirige em um bairro conhecido)"
Cérebro e sistema nervoso,Incapacidade de distinguir a direita da esquerda
Cérebro e sistema nervoso,Incapacidade de manter a concentração ao executar uma tarefa
Cérebro e sistema nervoso,Incapacidade de realizar cálculos matemáticos simples (acalculia)
Cérebro e sistema nervoso,Incapacidade de reconhecer objetos familiares (agnosia) ou rostos familiares (prosopagnosia)
Cérebro e sistema nervoso,alterações de humor
Cérebro e sistema nervoso,Alterações de sentidos específicos
Cérebro e sistema nervoso,Alterações na cognição (capacidades mentais)
Cérebro e sistema nervoso,Alterações na sensibilidade
Cérebro e sistema nervoso,Alterações no estado de consciência
Cérebro e sistema nervoso,apatia
Cérebro e sistema nervoso,atitudes obsessivas
Cérebro e sistema nervoso,Cãibras musculares
Cérebro e sistema nervoso,compulsões
Cérebro e sistema nervoso,delírios
Cérebro e sistema nervoso,depreciação
Cérebro e sistema nervoso,Descontrole Emocional
Cérebro e sistema nervoso,desmotivação
Cérebro e sistema nervoso,Disfunção muscular
Cérebro e sistema nervoso,Dormência
Cérebro e sistema nervoso,Espasmos musculares
